covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,0.0020092116884297497,0.0028567670963029128,0.7033165885416325,0.4818584750449397,1.0020112315067553,0.996416384710915,1.0076374931921428
PC2,0.0036636433070885415,0.003406575263895089,1.0754623113477082,0.282167797164253,1.0036703626514838,0.9969912910537596,1.010394178870157
PC3,0.00018039225514949732,0.00424044349258729,0.04254089353267898,0.9660675129159358,1.0001804085268107,0.9919020891815247,1.0085278179283939
PC4,0.007726370262737508,0.005102861324670821,1.5141250704546485,0.12999412120985213,1.0077562956834336,0.9977273484582858,1.0178860517944963
PC5,0.011590328675270111,0.005975630380400293,1.939599328848332,0.05242840250981508,1.011657756787526,0.9998781005600261,1.0235761902327292
PC6,0.020846887479570874,0.006482798612760522,3.2157234436585096,0.0013011615709712643,1.0210657017251548,1.0081738269960638,1.034122429408746
PC7,-0.00931038149747826,0.00745940224142371,-1.2481404268261138,0.21197963573594927,0.9907328259078871,0.9763532614098321,1.0053241701821014
PC8,0.0041711969118697085,0.007661202899117615,0.5444571781736951,0.586126908249643,1.0041799084620273,0.9892138316494795,1.0193724109956812
PC9,0.006312140284486051,0.00839251854721857,0.7521151426681095,0.45198181833287465,1.0063321038240884,0.9899140121221015,1.0230224956772338
PC10,0.012223361848182289,0.012211469421901575,1.0009738734848228,0.31683943960963873,1.0122983724512968,0.9883571900109384,1.036819487149381
PC11,0.020940176224914165,0.00896035137889402,2.336981591395897,0.01944014128799863,1.02116096010658,1.0033835990134528,1.039253290038889
PC12,0.0016977348426683218,0.009532350973297164,0.178102426927435,0.8586425360936867,1.0016991768103771,0.9831577701714819,1.0205902564830205
PC13,-0.0038711190314558706,0.009987734100071768,-0.38758731386612044,0.6983214585327429,0.996136364090689,0.9768256689983346,1.0158288089228227
PC14,0.02234212704759266,0.009850248713956275,2.2681789766320652,0.023318300285568687,1.0225935815524485,1.0030402517878638,1.042528085157466
PC15,-0.008226612138674028,0.010906883424725903,-0.7542587390293638,0.45069387292483565,0.9918071338332205,0.9708298054529135,1.0132377325019997
PC16,0.027184573539195123,0.01212146304391388,2.2426808909708593,0.024917399755523723,1.0275574451758478,1.003432383155532,1.052262534936203
PC17,-0.008628930094556703,0.011487894510489585,-0.7511324278506941,0.4525729616196835,0.9914081922705649,0.9693348122092225,1.0139842202314726
PC18,-0.010258340466399044,0.012511194187552683,-0.8199329586463464,0.4122543266687526,0.9897940968483764,0.965817601352251,1.0143658106708926
PC19,-0.047607107225895146,0.0121473749065121,-3.9191271852796272,8.887021177122189e-05,0.9535083400299588,0.9310745199079391,0.9764826929176232
PC20,0.022358129577485623,0.012885362913040176,1.735157149113656,0.08271297408685452,1.0226099457677398,0.997107011048861,1.0487651672242186
