pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-6783783,Interleukin-10 signaling,0.016391260770596678
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.014372135194730642
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.012409393920570722
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.011946306646933212
R-HSA-5669034,TNFs bind their physiological receptors,0.01150340277099846
R-HSA-68616,Assembly of the ORC complex at the origin of replication,0.011369966472398602
R-HSA-73728,RNA Polymerase I Promoter Opening,0.009762565553729535
R-HSA-380108,Chemokine receptors bind chemokines,0.00889595080463763
R-HSA-9646399,Aggrephagy,0.008416303189216986
R-HSA-1483166,Synthesis of PA,0.008147214732354848
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,0.007696262302306465
R-HSA-9013424,RHOV GTPase cycle,0.007291469094134709
R-HSA-427359,SIRT1 negatively regulates rRNA expression,0.007093400787647802
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,0.007006915683842095
R-HSA-1266695,Interleukin-7 signaling,0.006926415532021309
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),0.006889845704845437
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,0.006824106162796546
R-HSA-9772755,Formation of WDR5-containing histone-modifying complexes,0.006630490210687458
R-HSA-9675126,Diseases of mitotic cell cycle,0.006375612875909305
R-HSA-8964043,Plasma lipoprotein clearance,0.0063655291602921086
R-HSA-8948216,Collagen chain trimerization,0.006156621445386762
R-HSA-1638074,Keratan sulfate/keratin metabolism,0.005983871823994392
R-HSA-5339562,Uptake and actions of bacterial toxins,0.005829556863198302
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,0.00582716308606288
R-HSA-156590,Glutathione conjugation,0.005777042459541722
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.0056053648861258765
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),0.005596906185830113
R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,0.005542029696318963
