covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,0.0009735177487890556,0.0028837071357055645,0.337592447143861,0.735670334675675,1.0009739917710032,0.9953323791215763,1.0066475814704625
PC2,0.0018991970848368672,0.003488207796741785,0.544462140876711,0.5861234940570275,1.0019010017018808,0.995074480156079,1.0087743553163813
PC3,0.0007186960818524483,0.004316527629831209,0.16649866362156285,0.8677645347691354,1.0007189544057633,0.9922881916896663,1.0092213472798832
PC4,0.007259036000046616,0.005198901197792048,1.3962635033590365,0.162635159876811,1.0072854466685264,0.9970734802843214,1.0176020033958648
PC5,0.006565248526513095,0.005877547728813203,1.117004715134615,0.2639923091405026,1.006586847011223,0.9950575094794916,1.018249770413775
PC6,0.018464255230950036,0.006473476778899613,2.8522934215404203,0.004340501436267642,1.0186357736183438,1.0057929553899836,1.031642579851554
PC7,-0.008910295379711533,0.007540034611445987,-1.1817313631671467,0.23731230963127986,0.9911292836612821,0.9765896130708761,1.0058854239110495
PC8,0.005754110172975918,0.007976061208825162,0.7214225195023889,0.4706495953852091,1.005770696863538,0.9901696669337697,1.0216175353077432
PC9,0.002308809666353969,0.008742614708009126,0.26408685999153825,0.791712988790451,1.0023114770198005,0.9852826593577203,1.0196346068046145
PC10,0.01083053575653803,0.012279693250237504,0.8819874842010859,0.37778357552890174,1.010889398321363,0.9868495695046364,1.0355148415897706
PC11,0.01922677586892141,0.009264945238433586,2.0752174323884143,0.03796638770877426,1.0194128006302206,1.001068053164575,1.0380937188072523
PC12,0.005034530277059363,0.009851314463330919,0.5110516262372049,0.6093149072059982,1.0050472248193596,0.985827345130362,1.0246418189825341
PC13,-0.0022585300288796564,0.010034512081943416,-0.22507621800005242,0.8219199816199199,0.9977440185310386,0.97831245756492,1.0175615354958365
PC14,0.015052964801852878,0.010073030901014596,1.4943828674581632,0.1350755769361043,1.0151668313019029,0.9953208059348059,1.0354085730254985
PC15,-0.0019450538099119042,0.011259566871596013,-0.17274677011054496,0.8628504791596145,0.9980568365814135,0.9762722323455858,1.0203275439409278
PC16,0.03410165936835843,0.012442113889681626,2.740825206289044,0.006128510055768374,1.0346897872919554,1.0097624610817475,1.0602324776258452
PC17,-0.011331367912055499,0.01218416815892789,-0.9300075117358335,0.3523671952195421,0.9887325902316266,0.965400403780749,1.0126286783780563
PC18,-0.016664202116347546,0.012736569859398725,-1.3083744132295159,0.19074634677561295,0.9834738776394897,0.9592266625125154,1.0083340109268848
PC19,-0.053621581460991566,0.012611340083565327,-4.251854371199569,2.1200771073003733e-05,0.9477907002203267,0.9246501696053028,0.9715103516474665
PC20,0.026307439538348843,0.013257327951254073,1.9843696735178298,0.04721464422003032,1.0266565347701964,1.0003231289488062,1.0536831648529135
PC21,0.011623980068616124,0.012350804351718689,0.9411516641018265,0.3466271428821833,1.0116918010534466,0.9874952459357249,1.0364812433592074
PC22,-0.03617433791573961,0.015316445509384819,-2.3617971867934093,0.018186588611973434,0.964472134763565,0.9359487379852123,0.9938647929990427
PC23,0.011512877501172695,0.01395913239725739,0.8247559499782866,0.40951015991961615,1.0115794057407075,0.9842778814029538,1.039638209344051
PC24,0.01547928516453866,0.013610570878374648,1.1372987439588698,0.2554134196601657,1.0155997098595257,0.9888650241641158,1.0430571872421395
PC25,-0.009793912738057678,0.014280977040034776,-0.6858013083139743,0.4928384111908167,0.9902538914347145,0.9629203048857801,1.0183633728836081
PC26,-0.009250751008402038,0.015481927487663217,-0.597519334448085,0.5501607023390531,0.9907919055522965,0.961178321566126,1.0213178741988669
PC27,-0.05179772587772038,0.015376776555447055,-3.3685685482222607,0.0007555960553631384,0.9495209109283046,0.9213307304195116,0.9785736332485016
PC28,-0.006710854300120415,0.015563857297655038,-0.43118194749392363,0.6663360790834574,0.9933116131958071,0.9634679897128081,1.024079649188723
PC29,0.0027487933688611194,0.015124877602242414,0.18173987526706223,0.8557868711132302,1.0027525747653188,0.9734625087431792,1.0329239361222824
PC30,-0.007153590464820377,0.014077316070591756,-0.5081643708891782,0.6113380751629027,0.992871935559606,0.9658515515104795,1.0206482340689003
