pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-380108,Chemokine receptors bind chemokines,0.008026181603928003
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,0.006975431365411429
R-HSA-3371568,Attenuation phase,0.006881469968307537
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,0.006764531975123201
R-HSA-3371511,HSF1 activation,0.0062522685281621825
R-HSA-194068,Bile acid and bile salt metabolism,0.006191718169537178
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,0.00606700365615676
R-HSA-167287,HIV elongation arrest and recovery,0.005735882899107797
R-HSA-73927,Depurination,0.005659999742843769
R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,0.0056429877208961955
R-HSA-6806667,Metabolism of fat-soluble vitamins,0.005528658521113049
R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,0.00531520421457246
R-HSA-8854691,Interleukin-20 family signaling,0.005178446068853867
R-HSA-9705462,Inactivation of CSF3 (G-CSF) signaling,0.005129031198640987
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,0.005021112997779445
R-HSA-9830674,Formation of the ureteric bud,0.004940993699063262
R-HSA-109704,PI3K Cascade,0.004917104567858913
R-HSA-9035034,RHOF GTPase cycle,0.0047497820087750685
R-HSA-9749641,Aspirin ADME,0.004526178161303168
R-HSA-192105,Synthesis of bile acids and bile salts,0.004304382109399249
R-HSA-9696273,RND1 GTPase cycle,0.004091532700365811
R-HSA-391160,Signal regulatory protein family interactions,0.003988908858515284
R-HSA-6783589,Interleukin-6 family signaling,0.003985660400350339
R-HSA-5620924,Intraflagellar transport,0.003957642763211814
R-HSA-1266695,Interleukin-7 signaling,0.0039264921894038365
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,0.0038101070173113664
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,0.003759225848673634
R-HSA-5339562,Uptake and actions of bacterial toxins,0.003569891135621829
R-HSA-5626467,RHO GTPases activate IQGAPs,0.003525503478797459
R-HSA-9843743,Transcriptional regulation of brown and beige adipocyte differentiation,0.0034208203868134703
R-HSA-9682385,FLT3 signaling in disease,0.003407444730459593
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,0.003395182536097467
R-HSA-9031628,NGF-stimulated transcription,0.003389932452678815
R-HSA-180585,Vif-mediated degradation of APOBEC3G,0.0033457681744390793
R-HSA-427359,SIRT1 negatively regulates rRNA expression,0.0033031000996266136
R-HSA-1483166,Synthesis of PA,0.003280254448195924
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.0032669750674169514
R-HSA-210991,Basigin interactions,0.003219296221834589
R-HSA-5620971,Pyroptosis,0.003208208878540104
R-HSA-5357786,TNFR1-induced proapoptotic signaling,0.0032072518083137136
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.0032029839455734992
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),0.0031809576177979173
R-HSA-9918485,Dengue Virus Attachment and Entry,0.003131227096096854
R-HSA-114508,Effects of PIP2 hydrolysis,0.00308372174539485
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.003072207286522714
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,0.0030653471409474086
R-HSA-5260271,Diseases of Immune System,0.0030646373057458156
R-HSA-399719,Trafficking of AMPA receptors,0.0029583692803195633
R-HSA-9958863,SLC-mediated transport of amino acids,0.0029568452029726067
R-HSA-68616,Assembly of the ORC complex at the origin of replication,0.0029383771297811726
R-HSA-1482801,Acyl chain remodelling of PS,0.002938352102612136
R-HSA-390918,Peroxisomal lipid metabolism,0.002911597581306876
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.0028706758233688445
R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation,0.0028648098718715327
R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,0.0028538689066927984
R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants,0.0028281125885979814
R-HSA-73893,DNA Damage Bypass,0.002822691674557611
R-HSA-3000157,Laminin interactions,0.002806260766483875
R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,0.00279175454992662
R-HSA-196807,Nicotinate metabolism,0.00276585681048765
R-HSA-2024101,CS/DS degradation,0.002758151203413376
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),0.0027288610094418427
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,0.002708153569243993
R-HSA-9821993,Replacement of protamines by nucleosomes in the male pronucleus,0.002676729629881346
R-HSA-888590,"GABA synthesis, release, reuptake and degradation",0.002653177802146262
R-HSA-110331,Cleavage of the damaged purine,0.002644298497042718
R-HSA-1482788,Acyl chain remodelling of PC,0.0026320559537695654
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.002622143204941346
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",0.0025983756408237187
R-HSA-9864848,Complex IV assembly,0.00256682757011801
R-HSA-77387,Insulin receptor recycling,0.002528517988983107
R-HSA-9860927,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",0.0024873480603883487
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,0.0024838117168180084
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,0.0024758148682390616
R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,0.002465501071995974
R-HSA-982772,Growth hormone receptor signaling,0.0023838362658983375
R-HSA-9013407,RHOH GTPase cycle,0.0023817602344609404
R-HSA-72165,mRNA Splicing - Minor Pathway,0.002367736827209434
R-HSA-392154,Nitric oxide stimulates guanylate cyclase,0.0022476410070829895
R-HSA-3371571,HSF1-dependent transactivation,0.0022399774266898625
R-HSA-5654696,Downstream signaling of activated FGFR2,0.0022175180703532505
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),0.002206214855652723
R-HSA-9027284,Erythropoietin activates RAS,0.0022015608362986328
R-HSA-917977,Transferrin endocytosis and recycling,0.0021825110697370584
R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,0.002173348536202554
R-HSA-8863795,Downregulation of ERBB2 signaling,0.0021512614928235986
R-HSA-5675482,Regulation of necroptotic cell death,0.0021490252252099732
R-HSA-9909505,Modulation of host responses by IFN-stimulated genes,0.0021393529784813083
R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),0.0020912063701793203
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,0.0020893102779378663
R-HSA-6811438,Intra-Golgi traffic,0.0020707594213137544
R-HSA-196071,Metabolism of steroid hormones,0.0020702613321279314
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,0.0020633985786445513
R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.0020474577321420127
R-HSA-5669034,TNFs bind their physiological receptors,0.0020376947177878995
R-HSA-1222556,ROS and RNS production in phagocytes,0.0020363807633995406
R-HSA-191273,Cholesterol biosynthesis,0.0020326473761543874
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,0.002016707412388841
R-HSA-9674555,Signaling by CSF3 (G-CSF),0.0019924677172261456
