,epoch,train_loss,val_loss,cindexes
0,1,3.607845401763916,2.868777632713318,0.41660649819494583
1,2,3.5728621006011965,2.868971109390259,0.42815884476534294
2,3,3.5988558292388917,2.8703759908676147,0.43104693140794226
3,4,3.64036865234375,2.8750956058502197,0.43971119133574005
4,5,3.5174681186676025,2.8827178478240967,0.4490974729241877
5,6,3.4472233295440673,2.87685489654541,0.46064981949458483
6,7,3.390321063995361,2.8973495960235596,0.4851985559566787
7,8,3.3224109649658202,2.8154971599578857,0.5574007220216607
8,9,3.0687511444091795,2.8217579126358032,0.5877256317689531
9,10,2.94221715927124,3.0155290365219116,0.5646209386281589
10,11,2.8332001209259032,2.913214087486267,0.5487364620938628
11,12,2.668520450592041,3.0405423641204834,0.5566787003610109
12,13,2.4968965530395506,3.323348045349121,0.5530685920577617
13,14,2.2655945777893067,3.2251921892166138,0.543682310469314
14,15,2.218723011016846,3.3594253063201904,0.551624548736462
