,epoch,train_loss,val_loss,cindexes
0,1,3.6064854145050047,2.8684959411621094,0.4815884476534296
1,2,3.5719011783599854,2.8687851428985596,0.44620938628158846
2,3,3.6279242992401124,2.8716537952423096,0.4447653429602888
3,4,3.704196500778198,2.879231095314026,0.44620938628158846
4,5,3.6239702701568604,2.8944616317749023,0.4469314079422383
5,6,3.6305986404418946,2.917057991027832,0.43971119133574005
6,7,3.380750370025635,2.9314852952957153,0.47653429602888087
7,8,3.2436522006988526,2.8850996494293213,0.524187725631769
8,9,3.1714670658111572,2.8430988788604736,0.5653429602888087
9,10,2.9777849674224854,2.9739409685134888,0.548014440433213
10,11,2.7909429550170897,3.0814744234085083,0.5537906137184115
11,12,2.6955234527587892,3.2788984775543213,0.5169675090252708
12,13,2.5092116355895997,3.4458372592926025,0.5140794223826715
13,14,2.3776714324951174,3.5185381174087524,0.4981949458483754
14,15,2.390426015853882,3.6519492864608765,0.5725631768953069
