covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,0.0007895211253779401,0.0028052073857181233,0.28144839821738366,0.7783665012372614,1.0007898328792217,0.9953023831287591,1.0063075368572179
PC2,-0.0027609731741556117,0.0033513110538822737,-0.8238486758658841,0.4100255459059786,0.9972428348068946,0.9907138423189714,1.0038148545960286
PC3,-0.002973026232961791,0.003814237636896104,-0.7794549044881058,0.4357117920753144,0.9970313888330763,0.989605468448303,1.0045130327312286
PC4,0.0033585057969169633,0.0046843057809972406,0.7169698038376077,0.4733927288323909,1.003364151896561,0.9941941857243599,1.0126186974002513
PC5,0.012391430557429518,0.006362494515086747,1.9475742616432843,0.051465925968655145,1.0124685224301708,0.9999209444329156,1.0251735545886513
PC6,0.0251996342148676,0.006424208352501503,3.9226053751907335,8.75965615144566e-05,1.0255198289362282,1.012688004120907,1.0385142465021509
PC7,0.000983238844356616,0.0073253462808432115,0.13422421366317125,0.8932252794252578,1.0009837223821338,0.98671460055748,1.0154591934769128
PC8,0.007407114670564774,0.007652120931652857,0.9679819146513198,0.3330534020048939,1.0074346152023679,0.9924376968404168,1.0226581549039466
PC9,0.01187851606603307,0.00776543098481688,1.5296660403341646,0.12609941360849564,1.0119493458109217,0.9966638486966194,1.0274692714362377
PC10,-0.0002727096217975281,0.010508229451515971,-0.02595200486017039,0.9792956201155386,0.9997273275600913,0.9793474079916863,1.0205313470119752
PC11,0.017844589121414456,0.009300984483439051,1.9185699269994263,0.05503878455085478,1.0180047550820643,0.9996147337679759,1.036733099624601
PC12,0.01778653920996672,0.010266650215736738,1.7324578938808577,0.0831920677751924,1.0179456617113776,0.9976666313339736,1.0386368929784695
PC13,0.0018036362163826958,0.010769987792577916,0.16746873358813485,0.8670012470642596,1.001805263746527,0.9808796186348477,1.0231773271699143
PC14,-0.01787616840551649,0.011016548160976247,-1.6226651165415835,0.10466101227232964,0.9822826624556462,0.9613001356484149,1.0037231798684019
PC15,0.028142153538014688,0.01068502911130896,2.6337928745771246,0.008443697924614862,1.028541884897656,1.007225475161685,1.0503094243312339
PC16,-0.04669124409832517,0.011398281649065938,-4.096340618337976,4.197322266389056e-05,0.9543820231864459,0.9332969297093197,0.9759434722078658
PC17,-0.007543077402047894,0.010881955440591187,-0.6931729727463485,0.48820100722004933,0.9924853002099625,0.971541095415377,1.013881014175439
PC18,0.016684445176967818,0.012393130926119336,1.346265546328108,0.1782168929563371,1.0168244078487747,0.9924227616757721,1.0418260405990167
PC19,0.006642618010253863,0.013188645715681258,0.5036618735125936,0.6144990048549336,1.0066647291287272,0.9809761539694589,1.0330260045274895
PC20,0.018203131257195252,0.01221626379783644,1.4900735248054413,0.13620490461092397,1.018369818122517,0.9942757008075732,1.0430478041659377
PC21,0.007783507105351654,0.013039587822677718,0.5969135843247296,0.5505650772524846,1.0078138773412948,0.9823829423067588,1.033903142675431
PC22,-0.03975292752287351,0.015002686667646235,-2.649720573622453,0.008055836740955627,0.9610268531070708,0.9331790456430441,0.9897056912121885
PC23,-0.003304010133862963,0.013972011049513296,-0.2364734841787901,0.8130652804375883,0.9967014421012198,0.9697769796650964,1.0243734234954902
PC24,-0.006827489853882684,0.01319922280446352,-0.5172645355735539,0.6049715070975463,0.9931957645019132,0.9678308327334931,1.0192254609604592
PC25,0.011218426611094021,0.012962408168760363,0.865458521675828,0.3867871724702915,1.0112815891326363,0.9859122804483269,1.037303696078904
PC26,-0.001802313619620681,0.015963454475093754,-0.1129024812538325,0.9101078691550586,0.9981993095722577,0.967450822922409,1.0299250752825548
PC27,0.024856093820547296,0.01533747754013142,1.6206115872385047,0.10510096560741478,1.0251675819588093,0.9948081622628095,1.0564535062807678
PC28,0.03627578574733589,0.014795523179707889,2.451808246773474,0.014214038526072267,1.036941780824773,1.0073030988107214,1.0674525454052013
PC29,-0.03385044691729073,0.015233577265453595,-2.2220944120627597,0.02627692583960002,0.9667160691954523,0.9382786945720701,0.9960153244947454
PC30,-0.014920540817116832,0.016623121553725275,-0.8975775559899644,0.36941080899770007,0.9851902189027953,0.9536087003128818,1.0178176511007935
PC31,-0.010994322149695177,0.015324248931620507,-0.7174460685645199,0.4730989025020995,0.9890658945275167,0.959800479422447,1.0192236456332804
PC32,0.012206489526405616,0.0148676479879169,0.821010124555408,0.41164050124046603,1.0122812927715101,0.9832084754175636,1.0422137738997512
PC33,0.000851605131947089,0.01689620202233522,0.05040216320930263,0.9598019125875544,1.0008519678505545,0.9682500094457102,1.0345516672122408
PC34,-0.045671156266587666,0.015382718444823716,-2.9689912371734275,0.0029877911657697344,0.9553560733990475,0.9269818578585279,0.9845988022774652
PC35,-0.027390925509194246,0.01759644326088457,-1.5566171585414648,0.11956140751589527,0.9729808041515458,0.9399957224622385,1.0071233545272
PC36,-0.016948781777021846,0.016948185674166588,-1.000035172074859,0.3172934869373741,0.9831940407969344,0.9510703677954293,1.0164027337949089
PC37,-0.06107412070517948,0.01693535724712631,-3.6063083768453064,0.0003105840185093708,0.9407535078783489,0.9100393661425971,0.9725042624658751
PC38,0.010138429433654483,0.016917886143579013,0.5992728256716875,0.5489909659483743,1.010189997434855,0.9772423255894416,1.044248498244188
PC39,-0.00016996479941210302,0.017146594442991048,-0.009912452293497787,0.9920911368720143,0.9998300496437861,0.9667867938391927,1.0340026720896345
PC40,-0.03469711169229964,0.017450599700876486,-1.9883048311833613,0.0467779868071678,0.9658979311454364,0.9334197494225334,0.9995061856878599
PC41,-0.051915101538673035,0.01967172866464456,-2.63907165576041,0.008313340704937404,0.9494094668243366,0.9135001949799266,0.9867303156027002
PC42,-0.02941172694981882,0.018377764830241696,-1.6003973944328687,0.10951045277811806,0.9710165884542006,0.9366626008915139,1.0066305777083542
PC43,0.04170886243611361,0.017739932039967723,2.351128648190103,0.018716561510256177,1.042590897186972,1.0069627234646186,1.0794796605351487
PC44,-0.018419427565948415,0.017683784635760882,-1.0415998580247288,0.2975972345393064,0.9817491733256829,0.9483044813353947,1.0163733888174842
PC45,0.010052208543253234,0.01886206519624913,0.5329325521180043,0.5940802706475322,1.0101029017085912,0.9734416062842758,1.0481449174283122
PC46,0.04511482926882123,0.01731585201500838,2.6054062618298137,0.009176537955924437,1.0461479814196375,1.0112384414065978,1.0822626536092457
PC47,-0.03718120004354457,0.017299403898715017,-2.1492763716734973,0.03161249838738818,0.9635015330108188,0.9313798975768028,0.9967309864959224
PC48,0.006720004418908003,0.02095880653895295,0.3206291544520224,0.7484914411064102,1.0067426343111954,0.9662243200087662,1.0489600714362581
PC49,-0.0032667532939166157,0.018046207961441074,-0.18102159195419967,0.8563506280631068,0.9967385767390777,0.9620995792897107,1.0326247009621443
PC50,0.026233709101367776,0.01854609503104656,1.4145138940273942,0.15721107082327693,1.0265808417257332,0.989934363882982,1.0645839391457776
