covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,-0.00018689249003116856,0.002938909835619217,-0.0635924545101912,0.9492947400112585,0.9998131249732823,0.9940704935579225,1.0055889309127692
PC2,-0.0024448518661184665,0.0034774445637875536,-0.7030599111709748,0.48201841392102407,0.9975581343500907,0.9907821044863707,1.0043805059679725
PC3,-0.0008560642563074515,0.004112431579840203,-0.20816498455658577,0.8351001479619873,0.9991443020621599,0.9911232033266819,1.00723031505321
PC4,0.005501726578129885,0.005396311656497949,1.0195346244513142,0.3079492239541955,1.0055168888693071,0.9949378120106345,1.0162084520219274
PC5,0.005088589528357894,0.005795621739553849,0.8780058045592218,0.3799405687013564,1.005101558388456,0.9937487915335849,1.0165840213157742
PC6,0.0180531939321284,0.00614755795114531,2.9366447743310875,0.003317839130693153,1.018217137922575,1.0060220403637947,1.0305600656466016
PC7,-0.004200198509115452,0.007571624844504056,-0.5547288191601583,0.5790801608919733,0.9958086099878486,0.9811395436482391,1.0106969942712398
PC8,0.006393236726267621,0.008104548692844374,0.7888454951121837,0.43020231532543785,1.0064137170861869,0.9905532250875608,1.0225281633399377
PC9,0.017910955107902648,0.007504049777858803,2.386838525611878,0.01699395357488389,1.0180723182138072,1.0032081526851768,1.0331567206058156
PC10,0.003299899352968521,0.011760273856764637,0.2805971521717909,0.7790194005538755,1.0033053500147344,0.9804435208453567,1.0267002677525583
PC11,0.01238060942312798,0.00985117273965818,1.256765031972992,0.20883873168799177,1.0124575664315918,0.9930962519744039,1.0321963473194151
PC12,0.008402104082842941,0.009800084450709897,0.85735017132779,0.3912513886639081,1.0084375008256068,0.9892521143025967,1.0279949654576404
PC13,0.001673125182374241,0.010420288730727832,0.16056418642608739,0.8724366639329086,1.0016745256372488,0.9814240589198833,1.0223428355881725
PC14,0.02108646409716529,0.01044840757543962,2.018150990465939,0.04357553853997219,1.0213103544976874,1.0006077698666096,1.0424412758090449
PC15,0.007700219541113498,0.011321997674001827,0.6801113869503039,0.4964339349412936,1.0077299424736597,0.9856135918163066,1.0303425656768261
PC16,0.04145521160057292,0.012016605765627738,3.449827048429206,0.0005609458055616719,1.0423264766714335,1.0180638776067172,1.067167304397753
PC17,0.01095455896445895,0.01206817488477773,0.9077229215725531,0.3640246305017285,1.0110147798423443,0.987381229060313,1.035214013570464
PC18,-0.007704901149981108,0.013571589268835001,-0.5677228360921731,0.5702231828398067,0.9923247055132822,0.9662765364529691,1.0190750618727773
PC19,-0.021846400981652785,0.012758999507008146,-1.7122346442331309,0.0868534353670462,0.9783905033312563,0.954226666335826,1.0031662400345245
PC20,0.005407252754959448,0.012532374216200641,0.431462758905609,0.6661319255206084,1.0054218983316834,0.9810261133000782,1.0304243484858981
PC21,-0.03995322943534297,0.014241071111041713,-2.8054932893611855,0.005023962749135123,0.9608343768677818,0.9343859262621342,0.9880314694636163
PC22,0.039013554079520896,0.01518266965293828,2.569610942695487,0.010181278569645496,1.039784576877487,1.009298486350983,1.071191506707882
PC23,0.0018530477910720757,0.014355018114823525,0.12908710920807198,0.8972887220254065,1.0018547657451164,0.9740595985706827,1.0304430787592795
PC24,-0.017809351110450043,0.013824245234350415,-1.2882693274420116,0.19765222636021673,0.9823482981189166,0.956088428507374,1.009329419794028
PC25,0.009710881145016906,0.014037522273419378,0.6917802840038841,0.4890753199879513,1.0097581847472186,0.9823548686752899,1.0379259310222069
PC26,-0.009534389344299378,0.014738083670229633,-0.6469219172339536,0.5176824801236113,0.9905109188361712,0.9623076919658493,1.019540723330822
PC27,-0.0008243657230092054,0.014262814090771373,-0.05779825199731124,0.9539093305572852,0.9991759739730625,0.971630703543745,1.027502139777811
PC28,-0.022387521798620403,0.01558975911062758,-1.4360402646220987,0.15099088421741558,0.977861219079059,0.9484336452152284,1.0082018585093422
PC29,0.04342399891533788,0.015651182312269096,2.774486811855577,0.0055288875700564375,1.0443806172359824,1.0128292796361853,1.0769148321324291
PC30,-0.02126444319702228,0.015785159268240548,-1.3471161637124531,0.17794282311679746,0.9789600510113573,0.9491358353544406,1.0097214179235716
PC31,-0.00997148715574518,0.015657065532845467,-0.636868200802184,0.5242106973815712,0.9900780632883326,0.9601561652638197,1.020932434606024
PC32,-0.009288630495449993,0.01617127495651463,-0.574390734214067,0.5657034216464538,0.9907543755739555,0.9598441711542065,1.0226599923387332
PC33,0.011441368335412927,0.016667042313931797,0.6864666279660917,0.4924189016237537,1.011507071127628,0.978997652215662,1.0450960251289805
PC34,0.033706012332723745,0.01716184183656216,1.9640090296669284,0.049529044764271106,1.0342804963175314,1.0000688046999968,1.0696625472521777
PC35,0.03387499394666294,0.016906353408677223,2.0036842438935722,0.04510389512993205,1.0344552854727258,1.0007388140544073,1.069307718071861
PC36,-0.016840211195201075,0.016729481510213483,-1.006618835432526,0.3141179794666838,0.9833007925409311,0.951581449307984,1.0160774459346227
PC37,0.0338012899461291,0.017476101047284514,1.9341436545070354,0.053095467836115316,1.0343790447894692,0.9995482339704687,1.0704235893144363
PC38,0.030598217011977163,0.017714276288369028,1.727319621409968,0.08411027719353076,1.03107115380365,0.9958867182994043,1.0674986468555119
PC39,-0.02147414695033489,0.01753651350268165,-1.2245391278631927,0.2207489151871189,0.9787547809380218,0.945685031148649,1.0129809499527296
PC40,-0.021431359468532734,0.017642255575314604,-1.214774345436868,0.22445216806603857,0.9787966602863495,0.945529509976416,1.0132342693477727
PC41,-0.0006376794169204253,0.01925495734454766,-0.03311767486729822,0.9735807479748645,0.9993625238573887,0.9623496856087466,1.0377989093006803
PC42,0.04187896559526509,0.018858863877708278,2.2206515655891255,0.026374570323781907,1.0427682602768693,1.0049276937395544,1.082033713882961
PC43,0.009123423227008041,0.01857729467872567,0.4911061263110605,0.6233513887301341,1.0091651685094112,0.9730808815080992,1.046587551647578
PC44,0.019117136965468993,0.01826107424733144,1.046879099583238,0.29515534253359094,1.0193010394553925,0.9834636825664846,1.0564443074537286
PC45,-0.02342359887211022,0.01801907316970563,-1.2999336120955927,0.19362372375650966,0.976848604153054,0.9429509785365258,1.0119647968516394
PC46,-0.029957686864544437,0.018573413560841835,-1.61293381889175,0.10675888684295748,0.9704865970105773,0.9357924416733309,1.0064670252016763
PC47,0.05460308655229154,0.0206704033384105,2.6416072128997157,0.008251368699776577,1.0561213427103244,1.0141888150890503,1.0997876075278172
PC48,0.054976996946541914,0.019069506728035625,2.8829794986629507,0.003939330782827298,1.0565163112947813,1.0177565699624624,1.096752159578887
PC49,-0.003697512490046262,0.01862650909488869,-0.1985080763770651,0.8426475664509823,0.9963093148918919,0.9605920457225637,1.0333546434831098
PC50,-0.027163928588028362,0.020224126098178613,-1.3431447399091696,0.17922511099092286,0.9732016928680224,0.9353792511404567,1.012553500461349
t_stage,0.062057593070775685,0.047180211959004834,1.3153309511347235,0.18839870037558826,1.0640236233512514,0.9700422784837094,1.1671102344314352
n_stage,0.08578562108535283,0.047463159238862414,1.8074148973866098,0.07069761288081555,1.089572721848335,0.9927839903047119,1.195797603294968
m_stage,1.7716104559552013,0.3882289515486828,4.563313603707493,5.0352514765446604e-06,5.880315729458954,2.7474733593364937,12.585422515788434
