covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,0.0003891913945632231,0.0028126441859217723,0.13837206871429264,0.8899463705809205,1.0003892671393602,0.9948895119955584,1.0059194249623309
PC2,-0.0027011255842604373,0.0034237145817869927,-0.7889459006394735,0.43014362659664973,0.9973025191730629,0.9906325443829824,1.0040174032122415
PC3,-0.0017951120794144069,0.0039053633172405813,-0.4596530293326927,0.6457652891792002,0.9982064981706039,0.990594883214329,1.0058765998839017
PC4,0.0028812270747272497,0.004820213036708951,0.5977385341238852,0.5500144093258008,1.0028853817987315,0.9934551211543831,1.0124051581282143
PC5,0.008709029596102045,0.006256470389246894,1.3920036465081664,0.16392129372970018,1.0087470635270528,0.9964526543828731,1.0211931632664049
PC6,0.02142182708915118,0.006453049240491058,3.3196441388879037,0.0009013226173865804,1.021652921632877,1.0088124536212864,1.034656826979291
PC7,0.0047804277353111725,0.0074532757833165675,0.641386133331024,0.5212718399987342,1.0047918722092037,0.9902201440958254,1.0195780327005501
PC8,0.008812167303218267,0.007904546680810639,1.1148226026181869,0.26492644863592557,1.0088511087516459,0.9933415223669835,1.0246028548209756
PC9,0.009213325946963098,0.00808611181640274,1.1394012544167142,0.2545358330009895,1.0092558992813547,0.9933865127948265,1.0253787998071968
PC10,0.0015072658087463275,0.010788867952821803,0.13970564987331277,0.8888925622367498,1.0015084023047842,0.9805526718812967,1.0229119848938668
PC11,0.014394398562418637,0.009521197682892949,1.5118264573249571,0.13057801688769982,1.014498496794841,0.9957419424478293,1.0336083638988782
PC12,0.015786257198784338,0.010715469224109635,1.4732212718473876,0.14069138106321516,1.0159115184242469,0.9947975175517377,1.0374736517307226
PC13,0.0023215133762003646,0.010807548692882668,0.2148048037691657,0.8299195074560779,1.0023242101748593,0.9813154788615821,1.0237827120266645
PC14,-0.017871104526244158,0.011400079935526176,-1.5676297558714714,0.11696756361610838,0.9822876366290545,0.9605826407234611,1.0044830711781227
PC15,0.023096728599550236,0.011024579169468144,2.095021337731886,0.036169095713537595,1.0233655234737655,1.001489661872971,1.0457192265730757
PC16,-0.04956663158497816,0.011775169449093924,-4.2094198133847,2.560272851899029e-05,0.9516417466259719,0.9299300007250451,0.9738604123054829
PC17,-0.00738259122050433,0.01199805800258359,-0.6153155134701471,0.5383463743572885,0.9926445931678487,0.9695737036037657,1.0162644517719333
PC18,0.005834950294960506,0.012840544539724203,0.45441610960572487,0.649529359603852,1.0058520067758683,0.9808531576592576,1.0314879976014852
PC19,0.009196212192088878,0.013765776752707633,0.6680489126979374,0.5041023706666923,1.0092386272710838,0.9823725043311358,1.0368394904023974
PC20,0.0216250171006932,0.012717329786203137,1.7004369206619063,0.08904877206355898,1.0218605323933174,0.9967044928630839,1.047651490627518
PC21,0.02058080541619727,0.013361575692240136,1.5402977830039741,0.12348778394744603,1.0207940505987485,0.9944078118829945,1.0478804382727516
PC22,-0.03861968823395123,0.015367912152204876,-2.5130081335355863,0.011970657502131932,0.9621165438182665,0.93356863339447,0.9915374304330065
PC23,0.003613805159780491,0.014789566734051117,0.2443482777260918,0.8069610961478526,1.0036203428265593,0.9749454623120664,1.03313860259077
PC24,0.00023201924669673246,0.013426628140574173,0.017280529725522766,0.9862128183133922,1.000232046165244,0.9742530814158598,1.0269037535113146
PC25,0.010927215373720317,0.013462408817728536,0.8116835197673061,0.4169732531852086,1.010987135445924,0.9846597726947293,1.0380184266490102
PC26,0.0007530376996128425,0.01637694201787432,0.04598158183566584,0.9633249299464928,1.000753321303685,0.9691404167572741,1.0333974239268457
PC27,0.03499358194687298,0.016375518878664907,2.136944924075957,0.03260247149740486,1.0356130621586421,1.0029017669435354,1.0693912902179403
PC28,0.03863158971425521,0.015152315245791304,2.549550289021705,0.010786195360151001,1.0393874920625192,1.0089730706145497,1.070718723937799
PC29,-0.040424551984597004,0.0155272876215404,-2.6034522557898394,0.0092290121028598,0.9603816206653508,0.9315941358285509,0.9900586766698481
PC30,-0.007526494099413871,0.01677112105880385,-0.44877704197734025,0.6535925017288379,0.9925017590305262,0.960407225366438,1.025668815957569
PC31,0.002035954567738153,0.01628383324965334,0.1250291953082666,0.9005004371753644,1.0020380285304982,0.9705616459550169,1.0345352248421984
PC32,0.02312700434574855,0.015632734263220316,1.4793959876974476,0.13903451185703639,1.0233965070976463,0.9925149983868732,1.0552388754244488
PC33,-5.571254631770696e-05,0.017375494226060356,-0.003206386281326455,0.9974416782738075,0.9999442890055974,0.9664635627712219,1.0345848717233015
PC34,-0.04938421916457342,0.016286210723515025,-3.03227190185311,0.002427204612722575,0.951815353733897,0.9219122880823155,0.9826883525851139
PC35,-0.020919894919968072,0.018095386028494073,-1.1560900047684177,0.24764434397800367,0.9792974081248069,0.9451734233662892,1.0146533851368227
PC36,-0.019600633243228357,0.017747932268660574,-1.104389680246825,0.2694241354361969,0.9805902102501213,0.9470659185191369,1.0153011967127898
PC37,-0.050321175536791954,0.017374579828918737,-2.896252803364832,0.003776480383719008,0.9509239619358651,0.9190862104937625,0.9838645940493517
PC38,0.011015696510001139,0.017819753074234564,0.6181733531385822,0.5364610732114501,1.0110765926940146,0.976372583998374,1.0470141143326497
PC39,0.0070269764599657685,0.018074907209028088,0.3887697114403952,0.6974465084663912,1.0070517235909262,0.9719996431321791,1.043367846020437
PC40,-0.03387002336469996,0.01832578170638797,-1.8482171133192973,0.06457094071259449,0.9666971445144037,0.9325909902869651,1.002050608407388
PC41,-0.04412050615420473,0.01983573921408291,-2.2242935177772556,0.02612870255712196,0.9568386455799165,0.9203524771157858,0.994771260402691
PC42,-0.017943961487751393,0.018532918051359426,-0.9682210560702915,0.33293398119268874,0.9822160727435189,0.9471777732504134,1.0185505200834593
PC43,0.03272485743801526,0.017758506454854314,1.842770816408937,0.06536247945352719,1.0332662046160703,0.9979203502608259,1.0698639919735584
PC44,-0.018208843764075843,0.01847486657762361,-0.9856008262668609,0.324329032417221,0.9819559355687126,0.9470346641866412,1.0181649055335888
PC45,0.01417404184955212,0.019136005056188943,0.7407001517784386,0.4588752673087759,1.014274969869613,0.9769375705992398,1.0530393604096737
PC46,0.043595637813654387,0.018168268977851475,2.399548238018759,0.016415316816358258,1.0445598889591083,1.0080178024128352,1.0824266783885637
PC47,-0.030751742312876057,0.017607876517129018,-1.7464764864156463,0.0807281894372654,0.969716282717294,0.9368208781435793,1.0037667721821704
PC48,0.010327233509528562,0.021809263934869882,0.4735250827524169,0.635838610266927,1.010380743430022,0.9681009365919878,1.0545070334173796
PC49,0.007879662441209294,0.01827228622088839,0.4312357165356503,0.6662969863741137,1.0079107886823493,0.9724525285106854,1.044661953317254
PC50,0.033854612830014244,0.019384440054965205,1.7464839187522774,0.08072689903707701,1.0344342023337345,0.9958696637215703,1.0744921327947992
t_stage,0.06867008346288447,0.05026059228823766,1.3662808243299418,0.17185083734223358,1.0710827829282668,0.9706001597500576,1.1819679982133784
n_stage,0.0787105142577132,0.04626264261775437,1.7013838770097884,0.08887092684335193,1.0818910846898995,0.9881070219656386,1.1845764609617266
m_stage,1.671448481065037,0.4042123618862952,4.135075120575394,3.548385442713351e-05,5.319867947064029,2.408953092734298,11.748254899424392
