pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-5669034,TNFs bind their physiological receptors,0.004715099631191017
R-HSA-390918,Peroxisomal lipid metabolism,0.00430617115355576
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,0.0031940646307137485
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,0.0026492496568340435
R-HSA-194068,Bile acid and bile salt metabolism,0.00263360288537522
R-HSA-168638,NOD1/2 Signaling Pathway,0.002340795310576901
R-HSA-9749641,Aspirin ADME,0.0021261967013717297
R-HSA-877312,Regulation of IFNG signaling,0.0020006364923044837
R-HSA-917977,Transferrin endocytosis and recycling,0.0019357460019458416
R-HSA-6783783,Interleukin-10 signaling,0.0018405497279373399
R-HSA-9820841,M-decay: degradation of maternal mRNAs by maternally stored factors,0.00172329630953578
R-HSA-8979227,Triglyceride metabolism,0.0016712081591319136
R-HSA-9833109,Evasion by RSV of host interferon responses,0.0016643864783699332
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.0016569309200325515
R-HSA-9638630,Attachment of bacteria to epithelial cells,0.0016124028251507056
R-HSA-9031628,NGF-stimulated transcription,0.0016107616266520795
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,0.0015906331171353497
R-HSA-9013407,RHOH GTPase cycle,0.0015296431154782646
R-HSA-6804758,Regulation of TP53 Activity through Acetylation,0.0015290055636470862
R-HSA-112409,RAF-independent MAPK1/3 activation,0.0015188138127680073
R-HSA-109704,PI3K Cascade,0.0015096393515265474
R-HSA-1250196,SHC1 events in ERBB2 signaling,0.0014905510583659851
R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,0.0014859489875287176
R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,0.001482360500115801
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,0.0014456887696361487
R-HSA-1566948,Elastic fibre formation,0.001421963757547512
R-HSA-9640148,Infection with Enterobacteria,0.0014165750140797038
R-HSA-3371571,HSF1-dependent transactivation,0.0014056776076896928
R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,0.001392222718847584
R-HSA-9830674,Formation of the ureteric bud,0.0013656001585931647
R-HSA-1483166,Synthesis of PA,0.0013271253788181474
R-HSA-192105,Synthesis of bile acids and bile salts,0.0013183089898299012
R-HSA-912526,Interleukin receptor SHC signaling,0.0013181610682268569
R-HSA-3928664,Ephrin signaling,0.0012954084872732273
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,0.0012920726368019955
R-HSA-8948216,Collagen chain trimerization,0.0012879740060538559
R-HSA-9958863,SLC-mediated transport of amino acids,0.001278673356315401
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,0.00125368457931689
R-HSA-167169,HIV Transcription Elongation,0.001249048077154997
R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2",0.0012302145394013817
R-HSA-196807,Nicotinate metabolism,0.0011881497649557007
R-HSA-380108,Chemokine receptors bind chemokines,0.0011750747897894564
R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.0011496182055254285
R-HSA-69205,G1/S-Specific Transcription,0.0011152401913331381
R-HSA-5620924,Intraflagellar transport,0.0011143491682053942
R-HSA-9932298,Degradation of CRY and PER proteins,0.0011126888492219177
R-HSA-975576,N-glycan antennae elongation in the medial/trans-Golgi,0.0011110390227379802
R-HSA-399719,Trafficking of AMPA receptors,0.001102098635344806
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.001092266107985013
R-HSA-3238698,WNT ligand biogenesis and trafficking,0.0010839558353746
R-HSA-5083635,Defective B3GALTL causes PpS,0.0010809687719373852
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,0.001080170211026544
R-HSA-2022928,HS-GAG biosynthesis,0.0010627472767550732
R-HSA-8963899,Plasma lipoprotein remodeling,0.0010618498258687496
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,0.0010375334452305519
R-HSA-1566977,Fibronectin matrix formation,0.0010332621022366446
R-HSA-4608870,Asymmetric localization of PCP proteins,0.0010278860764692196
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,0.0010272200881732117
R-HSA-110331,Cleavage of the damaged purine,0.0010270164673966905
R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,0.0010123381321818204
R-HSA-9613829,Chaperone Mediated Autophagy,0.00099788457041238
R-HSA-5602358,Diseases associated with the TLR signaling cascade,0.0009848293978843416
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.000976994789466151
R-HSA-187687,Signalling to ERKs,0.0009662000976165047
R-HSA-5626467,RHO GTPases activate IQGAPs,0.0009652742781478209
R-HSA-190872,Transport of connexons to the plasma membrane,0.000963924298043746
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,0.0009589899468181787
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,0.0009544738071935269
R-HSA-9006335,Signaling by Erythropoietin,0.0009481709367896032
R-HSA-210991,Basigin interactions,0.0009144995989585229
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,0.0009072809246453798
R-HSA-6806667,Metabolism of fat-soluble vitamins,0.0009066237017385317
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",0.0008915215584125552
R-HSA-8964043,Plasma lipoprotein clearance,0.0008893686877545022
R-HSA-156590,Glutathione conjugation,0.0008872455026489571
R-HSA-5218921,VEGFR2 mediated cell proliferation,0.0008727250858386087
R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,0.0008707287643385414
R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,0.0008568940744675042
R-HSA-9958790,SLC-mediated transport of inorganic anions,0.0008524560336230004
R-HSA-74158,RNA Polymerase III Transcription,0.0008482502831962664
R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,0.0008474880242463855
R-HSA-73728,RNA Polymerase I Promoter Opening,0.0008436709381616407
R-HSA-3371568,Attenuation phase,0.0008319680503669125
R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,0.0008297916591495469
R-HSA-4641257,Degradation of AXIN,0.0008289004069901597
R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",0.0008217705810217945
R-HSA-5357786,TNFR1-induced proapoptotic signaling,0.000805113226548528
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,0.0007960500338022826
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,0.0007736584627582722
R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,0.0007719537616459698
R-HSA-210500,Glutamate Neurotransmitter Release Cycle,0.0007689752312267845
R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,0.0007624240200540418
R-HSA-1482839,Acyl chain remodelling of PE,0.0007436241126981354
R-HSA-211976,Endogenous sterols,0.0007349238878751537
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.0007325578770650827
R-HSA-445144,Signal transduction by L1,0.0007311106978556407
R-HSA-9674555,Signaling by CSF3 (G-CSF),0.0007296794556237433
R-HSA-1222556,ROS and RNS production in phagocytes,0.0007268597182564385
R-HSA-180746,Nuclear import of Rev protein,0.000717058870009258
R-HSA-70221,Glycogen breakdown (glycogenolysis),0.0007161570531890751
R-HSA-1592389,Activation of Matrix Metalloproteinases,0.0007152944514622938
R-HSA-68962,Activation of the pre-replicative complex,0.0007102572328511464
R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,0.0007078063583267266
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,0.0007003873641737965
R-HSA-392518,Signal amplification,0.0006987477168320319
R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),0.000698180158117834
R-HSA-9830364,Formation of the nephric duct,0.0006976179939589505
