pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-9646399,Aggrephagy,0.00951406020576509
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.00853668839607896
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.008243972761366658
R-HSA-180910,Vpr-mediated nuclear import of PICs,0.006189486503007654
R-HSA-3371511,HSF1 activation,0.005891823721096064
R-HSA-5334118,DNA methylation,0.005638245567018099
R-HSA-68616,Assembly of the ORC complex at the origin of replication,0.005543586404292098
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,0.005105255235009184
R-HSA-168638,NOD1/2 Signaling Pathway,0.005084292327932206
R-HSA-109704,PI3K Cascade,0.0050460993739034335
R-HSA-6783783,Interleukin-10 signaling,0.0049712743209715995
R-HSA-6783310,Fanconi Anemia Pathway,0.0049410285549427386
R-HSA-1483166,Synthesis of PA,0.004900242454041451
R-HSA-5626467,RHO GTPases activate IQGAPs,0.004690642873699858
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),0.004513671736640014
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,0.004281918372633475
R-HSA-9603798,Class I peroxisomal membrane protein import,0.004244662694269699
R-HSA-2022928,HS-GAG biosynthesis,0.004170858296035261
R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,0.004134552065055995
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,0.004059489743272559
R-HSA-3371571,HSF1-dependent transactivation,0.003978397399458054
R-HSA-449836,Other interleukin signaling,0.003977705852844205
R-HSA-176187,Activation of ATR in response to replication stress,0.003881759304093231
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),0.003839256799447217
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,0.003834664862076011
R-HSA-6811438,Intra-Golgi traffic,0.003782735948305408
R-HSA-3371568,Attenuation phase,0.003772039963140119
R-HSA-9909505,Modulation of host responses by IFN-stimulated genes,0.003723833484112114
R-HSA-156590,Glutathione conjugation,0.003698781861547897
R-HSA-390918,Peroxisomal lipid metabolism,0.0036924279567794867
R-HSA-5339562,Uptake and actions of bacterial toxins,0.003688601424105177
R-HSA-9749641,Aspirin ADME,0.003644709293395527
R-HSA-190872,Transport of connexons to the plasma membrane,0.003558250318422693
R-HSA-5637812,Signaling by EGFRvIII in Cancer,0.003511272113421387
R-HSA-9613829,Chaperone Mediated Autophagy,0.0035031394060598938
R-HSA-2022854,Keratan sulfate biosynthesis,0.003495509433807009
R-HSA-5654696,Downstream signaling of activated FGFR2,0.0034450372880309595
R-HSA-77387,Insulin receptor recycling,0.0033920921680515334
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.003388524838280575
R-HSA-354192,Integrin signaling,0.0033546376965194933
R-HSA-432720,Lysosome Vesicle Biogenesis,0.0033363532865005488
R-HSA-9027284,Erythropoietin activates RAS,0.0033297698640710493
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.003325034676977962
R-HSA-1839124,FGFR1 mutant receptor activation,0.0032925215932825052
R-HSA-9664424,Cell recruitment (pro-inflammatory response),0.0032597579462146425
R-HSA-190861,Gap junction assembly,0.0032523353128475936
R-HSA-9753281,Paracetamol ADME,0.0032192004997371464
R-HSA-877312,Regulation of IFNG signaling,0.00321841313135976
R-HSA-1963642,PI3K events in ERBB2 signaling,0.003212714294655822
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,0.0031959428802754396
R-HSA-6804758,Regulation of TP53 Activity through Acetylation,0.0031093335337085493
R-HSA-196807,Nicotinate metabolism,0.0031003551827321987
R-HSA-9640148,Infection with Enterobacteria,0.0030846492683631443
R-HSA-3000157,Laminin interactions,0.003038854809177383
R-HSA-9696264,RND3 GTPase cycle,0.0029716630350507833
R-HSA-194068,Bile acid and bile salt metabolism,0.002939345161864804
R-HSA-8978934,Metabolism of cofactors,0.0029137760709945647
R-HSA-165159,MTOR signalling,0.002908009706116392
R-HSA-1482839,Acyl chain remodelling of PE,0.0028528141067132398
R-HSA-5223345,Miscellaneous transport and binding events,0.0028405466264973178
R-HSA-917977,Transferrin endocytosis and recycling,0.0027446474420864415
R-HSA-9764260,Regulation of Expression and Function of Type II Classical Cadherins,0.0027309198497206025
R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.002696979203360761
R-HSA-1482788,Acyl chain remodelling of PC,0.002646091929389378
R-HSA-5620971,Pyroptosis,0.0026460262767775537
R-HSA-5655253,Signaling by FGFR2 in disease,0.0026286284224956756
R-HSA-8854214,TBC/RABGAPs,0.0026043471320567786
R-HSA-9701192,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,0.002596188663512899
R-HSA-500657,Presynaptic function of Kainate receptors,0.0025665320237337878
R-HSA-5260271,Diseases of Immune System,0.002553949549635751
R-HSA-418360,Platelet calcium homeostasis,0.0025221057760650162
R-HSA-389977,Post-chaperonin tubulin folding pathway,0.0025089745361877975
R-HSA-180534,Vpu mediated degradation of CD4,0.0025076889601086437
R-HSA-4085377,SUMOylation of SUMOylation proteins,0.002474160576861491
R-HSA-4641265,Repression of WNT target genes,0.0024580098930880763
R-HSA-5694530,Cargo concentration in the ER,0.0024473691408506597
R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,0.0024270529100191814
R-HSA-418457,cGMP effects,0.002368745710792851
R-HSA-4608870,Asymmetric localization of PCP proteins,0.0023660158659118318
R-HSA-6806667,Metabolism of fat-soluble vitamins,0.0023375194736991066
R-HSA-1538133,G0 and Early G1,0.002325560542430531
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,0.0022749158162086013
R-HSA-9927432,Developmental Lineage of Mammary Gland Myoepithelial Cells,0.0022731210707531138
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.0022506769361966216
R-HSA-8863795,Downregulation of ERBB2 signaling,0.002249266625630665
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,0.0022406898155493266
R-HSA-9614657,FOXO-mediated transcription of cell death genes,0.0022292006098418755
R-HSA-70263,Gluconeogenesis,0.0022168665908758167
R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,0.002200453688972869
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,0.0021976372814481115
R-HSA-4791275,Signaling by WNT in cancer,0.0021658456557548398
R-HSA-8854691,Interleukin-20 family signaling,0.0021593478054160223
R-HSA-163359,Glucagon signaling in metabolic regulation,0.0021531919480885816
R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",0.0021191008749531577
R-HSA-9839394,TGFBR3 expression,0.0021040286428819924
R-HSA-5656169,Termination of translesion DNA synthesis,0.002085604989054665
R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair,0.002085339352358516
R-HSA-210991,Basigin interactions,0.0020376529237763298
R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,0.0019987558221124073
R-HSA-9615710,Late endosomal microautophagy,0.0019757864051745053
R-HSA-9709603,Impaired BRCA2 binding to PALB2,0.0019689678336918415
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",0.0019633864820958156
R-HSA-420029,Tight junction interactions,0.0019610274691471133
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,0.001940462524193015
R-HSA-210993,Tie2 Signaling,0.001939599104258218
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,0.001904535259908752
R-HSA-8849932,Synaptic adhesion-like molecules,0.0019040975975156457
R-HSA-5603041,IRAK4 deficiency (TLR2/4),0.001890224861964083
R-HSA-163560,Triglyceride catabolism,0.0018860578619797064
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.0018818205199038246
R-HSA-1660661,Sphingolipid de novo biosynthesis,0.0018635986124932173
R-HSA-350054,Notch-HLH transcription pathway,0.001862362513079709
R-HSA-168276,NS1 Mediated Effects on Host Pathways,0.001796397350235891
R-HSA-9748787,Azathioprine ADME,0.0017926612225855636
R-HSA-351202,Metabolism of polyamines,0.0017713463972612654
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,0.0017685599235684705
R-HSA-9664565,Signaling by ERBB2 KD Mutants,0.0017682604465811473
R-HSA-1296072,Voltage gated Potassium channels,0.0017672737797007597
R-HSA-420092,Glucagon-type ligand receptors,0.001729746918323418
R-HSA-73933,Resolution of Abasic Sites (AP sites),0.0017272964997650814
R-HSA-1638074,Keratan sulfate/keratin metabolism,0.001706835191085414
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,0.0017040942352264641
R-HSA-977068,Termination of O-glycan biosynthesis,0.0017028353960089385
R-HSA-165054,Rev-mediated nuclear export of HIV RNA,0.0016830217351096381
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,0.0016774635702172017
R-HSA-211976,Endogenous sterols,0.0016722353553699834
R-HSA-9682385,FLT3 signaling in disease,0.0016520507865604112
