pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-380108,Chemokine receptors bind chemokines,0.008111009805922153
R-HSA-5260271,Diseases of Immune System,0.007642948735473153
R-HSA-3000157,Laminin interactions,0.00753044703561423
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,0.006982411437813975
R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,0.006434014876775928
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,0.005523337163036885
R-HSA-9840310,Glycosphingolipid catabolism,0.005506072092196274
R-HSA-192105,Synthesis of bile acids and bile salts,0.00545478579475832
R-HSA-9696273,RND1 GTPase cycle,0.005435266132564347
R-HSA-5223345,Miscellaneous transport and binding events,0.005390317289003267
R-HSA-73927,Depurination,0.005333935963718677
R-HSA-3371571,HSF1-dependent transactivation,0.005285553948843117
R-HSA-1222556,ROS and RNS production in phagocytes,0.00526917755315263
R-HSA-211976,Endogenous sterols,0.005216440506388818
R-HSA-176033,Interactions of Vpr with host cellular proteins,0.0051214756531261976
R-HSA-156590,Glutathione conjugation,0.005097356325027521
R-HSA-187687,Signalling to ERKs,0.005002499076867548
R-HSA-6783783,Interleukin-10 signaling,0.004969295287650333
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.004957046565318153
R-HSA-9821993,Replacement of protamines by nucleosomes in the male pronucleus,0.004799509069162057
R-HSA-71403,Citric acid cycle (TCA cycle),0.004791836728781544
R-HSA-5693537,Resolution of D-Loop Structures,0.004668702169963686
R-HSA-5626467,RHO GTPases activate IQGAPs,0.00443342336611715
R-HSA-9682385,FLT3 signaling in disease,0.004392265379783621
R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",0.004338158314702739
R-HSA-5673000,RAF activation,0.004250511577545196
R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,0.0041255440783279805
R-HSA-3000170,Syndecan interactions,0.0040103864524142
R-HSA-190872,Transport of connexons to the plasma membrane,0.004008196491939565
R-HSA-9646399,Aggrephagy,0.004007093201684252
R-HSA-70895,Branched-chain amino acid catabolism,0.003976299161669668
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,0.003684866571289371
R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,0.0036172933453797232
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,0.0036130278183373666
R-HSA-9675126,Diseases of mitotic cell cycle,0.0035687590707202217
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,0.003549815042127232
R-HSA-9748787,Azathioprine ADME,0.003544243861322153
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,0.003496576777261465
R-HSA-917977,Transferrin endocytosis and recycling,0.0034508605894279895
