model,seed,n_trainval,n_test,cv_mean_cindex,cv_std_cindex,retrain_mean_cindex,test_cindex,test_loss,mean_best_epoch,boot_mean,boot_lower,boot_upper,boot_std,weight_binn,weight_gene,weight_clinical
binn_only,0,847,212,0.6616412805267872,0.04062726009269632,0.7920733861606017,0.7649470447557226,2.4535797238349915,10,0.7649462926784484,0.6759703718247849,0.8400034278591462,0.041603306139918445,1.0,,
binn_only,1,847,212,0.6416567572898854,0.07019020073568202,0.748160278662799,0.6595289079229122,2.424190253019333,8,0.6589317181380537,0.5646910455480051,0.7486088191691319,0.04707510093998651,1.0,,
binn_only,2,847,212,0.6698761201637774,0.11557164995198031,0.7244517309382945,0.6246730601569311,2.5877217054367065,5,0.6288239672255718,0.47543322196536286,0.7665744954840531,0.07415525585778676,1.0,,
binn_only,3,847,212,0.6837290258993124,0.04872893947436537,0.7611902130461365,0.6883530482256597,2.3600092232227325,8,0.6899668144881851,0.5887860260650025,0.7936904129597663,0.05158155868906047,1.0,,
binn_only,4,847,212,0.6657076344679831,0.05112941371858591,0.7931768096518398,0.7457692307692307,2.4027079641819,9,0.7467807273167494,0.6389822669477956,0.840676331424455,0.05252943417474277,1.0,,
binn_only,5,847,212,0.725357015870675,0.03612988419460638,0.8152767575709675,0.6740858505564388,2.516075521707535,13,0.671850533103259,0.5518033225445959,0.7800751329330063,0.060904946176491545,1.0,,
binn_only,6,847,212,0.6757648235682719,0.04782141283396944,0.7965893919164948,0.689928628072958,2.5515055060386658,12,0.6910128911360364,0.602514177085687,0.7758968800492094,0.04568556725175054,1.0,,
binn_only,7,847,212,0.7188056181387289,0.04443332115928002,0.8268190227525675,0.5776344086021505,2.394343852996826,13,0.5772116930245363,0.41464196372732964,0.742296357209909,0.08353545591383216,1.0,,
binn_only,8,847,212,0.7407465950218058,0.026469161745148746,0.8129708405618002,0.6725274725274726,2.5222671031951904,10,0.6726098967073242,0.5555956401867183,0.7789136527296978,0.05740387872646487,1.0,,
binn_only,9,847,212,0.7155775384710079,0.03831698672926846,0.8257189596718747,0.6125166444740346,2.477524608373642,11,0.6152766130667594,0.4796141434470315,0.7427692350277064,0.07069857222803434,1.0,,
gene_only,0,847,212,0.6943414546023263,0.025311189749766677,0.8596418176618047,0.6433208062863,3.1345176100730896,6,0.6438814566328581,0.5282614457107677,0.749928155932809,0.05641333157130174,,1.0,
gene_only,1,847,212,0.6489901521949093,0.06132011616451661,0.8250788593529571,0.6972162740899358,2.338334947824478,6,0.6962094552975272,0.5726472909493626,0.8035867667044931,0.06107696959085156,,1.0,
gene_only,2,847,212,0.6635822420643361,0.08045462808189256,0.9018958564186306,0.7022667829119442,2.703636109828949,11,0.7019933879181944,0.5464507841102366,0.8344736028206475,0.07254516119716596,,1.0,
gene_only,3,847,212,0.6917851516442957,0.035260521075495654,0.8687727171948589,0.6342129208371247,2.6404707431793213,7,0.6325107778634095,0.4788086038717999,0.7757707950096989,0.07749847309955661,,1.0,
gene_only,4,847,212,0.6309710035032481,0.06295797288375876,0.840040206918532,0.7646153846153846,2.5622546076774597,5,0.7654238385543695,0.6827865256617248,0.8386115811154548,0.03908443994559494,,1.0,
gene_only,5,847,212,0.6899113452117767,0.06872522112989028,0.898585760908981,0.6788553259141494,2.9396089613437653,11,0.6783587364807209,0.5570469838890971,0.7877884972170687,0.0585645276393969,,1.0,
gene_only,6,847,212,0.6886010171155381,0.03521914272801336,0.8665554072096128,0.6149881046788264,3.1174480319023132,8,0.6152710039158666,0.5162103961762957,0.7138665809765826,0.0510947591146049,,1.0,
gene_only,7,847,212,0.7056489451995331,0.02664911193521368,0.8526636950873596,0.5501075268817204,2.468873232603073,5,0.5504078395789049,0.4091874966185144,0.7038494653249961,0.07367746843343566,,1.0,
gene_only,8,847,212,0.7316972646341019,0.04071365546945598,0.8646197232190246,0.6443956043956044,2.7075231075286865,6,0.6435779512799795,0.5012500947410832,0.7626803343932392,0.06604556054656387,,1.0,
gene_only,9,847,212,0.6886069304114057,0.060843277418598386,0.8685601839778088,0.5521526853084776,3.0412411093711853,7,0.5521629713277468,0.40304416091292977,0.7115555609986373,0.08045015631264087,,1.0,
clinical_only,0,847,212,0.6809474107215049,0.055114084997772095,0.638087547137161,0.5838742740006833,2.6700418293476105,7,0.584258029110857,0.4351657190149003,0.7195103840867201,0.07158757692030791,,,1.0
clinical_only,1,847,212,0.6557393794847916,0.06543501118379072,0.6618241476056874,0.6492505353319058,2.488680988550186,4,0.6493237405982293,0.5014664389664389,0.7690167865003094,0.07014838995775456,,,1.0
clinical_only,2,847,212,0.689846082178929,0.06138717218202887,0.6796754342195928,0.6135571054925893,2.5840503573417664,4,0.6117592664894659,0.4748987454565076,0.7501270996514966,0.06929256492885655,,,1.0
