pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-380108,Chemokine receptors bind chemokines,0.00951508599669145
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,0.007405652910013661
R-HSA-1266695,Interleukin-7 signaling,0.0037007397713579963
R-HSA-201556,Signaling by ALK,0.0035032735615913055
R-HSA-9640148,Infection with Enterobacteria,0.0032730043626046394
R-HSA-3371571,HSF1-dependent transactivation,0.0032605890148941228
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,0.002860820175911476
R-HSA-6783783,Interleukin-10 signaling,0.0028331986876741866
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.002817379772053241
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.0027351380137422858
R-HSA-1222556,ROS and RNS production in phagocytes,0.002649514112071942
R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,0.002638611024875687
R-HSA-8979227,Triglyceride metabolism,0.0026365153373421896
R-HSA-9749641,Aspirin ADME,0.002580909416165534
R-HSA-5083635,Defective B3GALTL causes PpS,0.002553359463653027
R-HSA-196071,Metabolism of steroid hormones,0.0025381515904620137
R-HSA-9675126,Diseases of mitotic cell cycle,0.002492688145221116
R-HSA-2424491,DAP12 signaling,0.0024825764609431042
R-HSA-9013407,RHOH GTPase cycle,0.002423575285280375
R-HSA-982772,Growth hormone receptor signaling,0.002414676100195331
R-HSA-73728,RNA Polymerase I Promoter Opening,0.0023755572408715696
R-HSA-168638,NOD1/2 Signaling Pathway,0.002373375527018329
R-HSA-449836,Other interleukin signaling,0.0023680488736259214
R-HSA-9660826,Purinergic signaling in leishmaniasis infection,0.0023036075397586215
R-HSA-5339562,Uptake and actions of bacterial toxins,0.0022912910707069403
R-HSA-2022854,Keratan sulfate biosynthesis,0.0022429795734550777
R-HSA-8854691,Interleukin-20 family signaling,0.0022284728530671772
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,0.0021160496250458515
R-HSA-499943,Interconversion of nucleotide di- and triphosphates,0.002114632002386482
R-HSA-375280,Amine ligand-binding receptors,0.0020051232487093653
R-HSA-6806667,Metabolism of fat-soluble vitamins,0.0019864200007102106
R-HSA-68616,Assembly of the ORC complex at the origin of replication,0.001971689018646449
R-HSA-3371568,Attenuation phase,0.001958254726006055
R-HSA-912526,Interleukin receptor SHC signaling,0.0018762034975852325
R-HSA-2129379,Molecules associated with elastic fibres,0.0018406411455507594
R-HSA-5260271,Diseases of Immune System,0.0018383762626106644
R-HSA-8874081,MET activates PTK2 signaling,0.0018327724892192722
R-HSA-392154,Nitric oxide stimulates guanylate cyclase,0.0018322508158823885
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.001819909774714788
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.0017977907818304887
R-HSA-5620924,Intraflagellar transport,0.0017914895712296357
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,0.00176712010446342
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,0.0017577758654427733
R-HSA-2243919,Crosslinking of collagen fibrils,0.0016912356871179347
R-HSA-1482839,Acyl chain remodelling of PE,0.0016666356084506927
R-HSA-9931510,Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes,0.0016509814647589528
R-HSA-9696270,RND2 GTPase cycle,0.0016367221386561406
R-HSA-9958790,SLC-mediated transport of inorganic anions,0.0016305969051957183
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,0.0016278953602138807
R-HSA-9929356,GSK3B-mediated proteasomal degradation of PD-L1(CD274),0.0015826072525397467
R-HSA-5334118,DNA methylation,0.0015752085333971303
R-HSA-9958863,SLC-mediated transport of amino acids,0.0015737210286862631
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),0.0015317629557646435
R-HSA-975634,Retinoid metabolism and transport,0.0015297791355051364
R-HSA-180534,Vpu mediated degradation of CD4,0.0014852236478272495
R-HSA-3371511,HSF1 activation,0.0014809026857853056
R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,0.0014657108237458307
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,0.001420752726975041
R-HSA-354192,Integrin signaling,0.0014198721872581295
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",0.0014072438965887966
R-HSA-1482788,Acyl chain remodelling of PC,0.0013930680585175772
R-HSA-5620971,Pyroptosis,0.0013823759545460962
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,0.001367848928001555
R-HSA-389977,Post-chaperonin tubulin folding pathway,0.0013572137340047649
R-HSA-5669034,TNFs bind their physiological receptors,0.0013475920082913829
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,0.0013167192107127143
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,0.0013077198407248397
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,0.001301136065872784
R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",0.0012901717870407575
R-HSA-4791275,Signaling by WNT in cancer,0.0012746744479740762
R-HSA-4090294,SUMOylation of intracellular receptors,0.0012703140233468744
R-HSA-5686938,Regulation of TLR by endogenous ligand,0.0012607590124483995
R-HSA-9860927,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",0.0012554181505452457
R-HSA-4641265,Repression of WNT target genes,0.00125042310931949
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),0.0012344610795360597
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.0012277444838604407
R-HSA-159227,Transport of the SLBP independent Mature mRNA,0.001222330782657329
R-HSA-156590,Glutathione conjugation,0.0011956875850058575
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.001190890794927373
R-HSA-5655253,Signaling by FGFR2 in disease,0.0011840800527743763
R-HSA-210500,Glutamate Neurotransmitter Release Cycle,0.0011795542082522442
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.0011582270739353914
R-HSA-877312,Regulation of IFNG signaling,0.0011460262630012302
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,0.0011418740947504234
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,0.0011365239401162097
R-HSA-9022692,Regulation of MECP2 expression and activity,0.001132919347716398
R-HSA-8863678,Neurodegenerative Diseases,0.0011318323784164429
R-HSA-418885,DCC mediated attractive signaling,0.0011276182258513547
R-HSA-8854214,TBC/RABGAPs,0.0011173299611634657
R-HSA-165159,MTOR signalling,0.0011092642216985124
R-HSA-8941858,Regulation of RUNX3 expression and activity,0.001105886480579171
R-HSA-4608870,Asymmetric localization of PCP proteins,0.001096236565398483
R-HSA-9955298,SLC-mediated transport of organic anions,0.0010875839320365363
R-HSA-1483166,Synthesis of PA,0.0010795731255359292
R-HSA-622312,Inflammasomes,0.0010749664744795719
R-HSA-194068,Bile acid and bile salt metabolism,0.001070917304889978
R-HSA-201451,Signaling by BMP,0.0010680632477515352
R-HSA-427359,SIRT1 negatively regulates rRNA expression,0.0010679610901546319
R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.001067903314884951
R-HSA-9920588,Dengue virus activates/modulates innate and adaptive immune responses,0.0010470275955040914
R-HSA-9635486,Infection with Mycobacterium tuberculosis,0.0010427748903611268
R-HSA-1296041,Activation of G protein gated Potassium channels,0.0010222570079782532
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,0.001020693716735933
R-HSA-390918,Peroxisomal lipid metabolism,0.001018285342290813
R-HSA-9031628,NGF-stimulated transcription,0.0010029025560212893
R-HSA-5675482,Regulation of necroptotic cell death,0.0010011731542544906
R-HSA-9664565,Signaling by ERBB2 KD Mutants,0.0009980711762642056
R-HSA-451326,Activation of kainate receptors upon glutamate binding,0.0009975136558302343
R-HSA-9013424,RHOV GTPase cycle,0.0009843287333467746
R-HSA-5626467,RHO GTPases activate IQGAPs,0.0009835793191556466
R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),0.000980069495325919
