covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
t_stage,0.10482048365831549,0.04115223419189106,2.5471395591680923,0.010860998800367729,1.1105112375461381,1.0244563735649554,1.2037947545045578
n_stage,0.1287707744775096,0.04039267683503658,3.187973280488653,0.001432737751989415,1.1374293664398922,1.0508518572629537,1.2311398173759156
m_stage,1.0710060638078112,0.3148798814942689,3.4013162693193677,0.0006706219155577721,2.918314033694522,1.5743484372971457,5.4095755409010255
