covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,0.0019994979758275948,0.0028689321344051153,0.696948509812763,0.4858350178679933,1.002001498304901,0.9963829483407003,1.0076517309707707
PC2,0.0007892734574067315,0.0034826459758021525,0.22663040196755552,0.8207111499620033,1.000789585015665,0.9939814716850627,1.0076443294037292
PC3,-0.004870322118833386,0.0038660462160455293,-1.25976820934518,0.20775299115349602,0.9951415186693204,0.9876293803606137,1.0027107960456687
PC4,0.0016479433872227135,0.004727585230469288,0.34858036542667026,0.7274043703600312,1.0016493019921253,0.9924108206923856,1.010973785514882
PC5,-0.005402216197032224,0.0058534119170686304,-0.9229174836097366,0.3560502086290527,0.9946123495320114,0.9832666801082741,1.0060889338105656
PC6,0.00796575366411099,0.006172145291005582,1.2905972378387074,0.19684337430999727,1.0079975646899955,0.9958768724213839,1.0202657763810765
PC7,-0.0033775017319075474,0.007753452831442863,-0.4356125980686488,0.6631178288217005,0.9966281956110001,0.9815971693679894,1.0118893893371381
PC8,0.00037399601626937807,0.007915409069573127,0.04724910778231547,0.9623146888493836,1.000374065961499,0.9849738309168359,1.0160150863265294
PC9,-0.0064806519679711716,0.008503876885232384,-0.7620820545068457,0.4460110326292014,0.993540302167073,0.97711761470084,1.0102390103083567
PC10,-0.0018587085376378393,0.01027682663879045,-0.18086405492353458,0.8564742835094744,0.9981430177913296,0.9782389743452451,1.0184520450459655
PC11,0.0009564009330381448,0.008951104656971864,0.10684725178508782,0.9149101605050666,1.000956858430249,0.9835490552119353,1.0186727618000315
PC12,-0.0015146975571727374,0.009673905815188571,-0.15657559481244668,0.8755793377937601,0.998486449018194,0.9797326477499317,1.0175992309357358
PC13,0.01016757654232089,0.010011898157315744,1.0155493376539584,0.3098440406587928,1.0102194419815935,0.9905888211242282,1.0302390852739267
PC14,0.01697227340581223,0.010744001318301652,1.5796976287503943,0.11417612893716855,1.0171171207406273,0.9959223670362998,1.0387629312737356
PC15,0.012851127804637765,0.012001600265487517,1.070784522093541,0.2842663279384648,1.0129340584174247,0.9893847351329568,1.0370439024047737
PC16,-0.02429766254000486,0.012922886246022032,-1.8802040099582438,0.06008027932170326,0.9759951493203967,0.9515847564142179,1.0010317263660518
