pathway_id,pathway_name,mean_abs_ig_attribution,std_abs_ig_attribution,n_seeds,rank_by_mean,se_abs_ig_attribution,cv_abs_ig_attribution,consistency_score,above_mean_floor,rank_by_consistency_filtered
R-HSA-1643713,Signaling by EGFR in Cancer,0.000612442,0.000463269,10,353,0.000146498,0.756428488,4.180537499,FALSE,
R-HSA-5654708,Downstream signaling of activated FGFR3,0.000467685,0.000352786,10,414,0.000111561,0.754324701,4.192196882,FALSE,
R-HSA-174411,Polymerase switching on the C-strand of the telomere,0.000332409,0.000250635,10,468,7.93E-05,0.753994366,4.194033539,FALSE,
R-HSA-5655332,Signaling by FGFR3 in disease,0.00055354,0.000416682,10,376,0.000131766,0.752758185,4.20092099,FALSE,
R-HSA-76066,RNA Polymerase III Transcription Initiation From Type 2 Promoter,0.000289792,0.000217662,10,474,6.88E-05,0.751097335,4.210210199,FALSE,
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,0.000337501,0.000252286,10,463,7.98E-05,0.747509672,4.230417047,FALSE,
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,0.000863046,0.000641446,10,252,0.000202843,0.743235829,4.254743294,FALSE,
R-HSA-167169,HIV Transcription Elongation,0.000690617,0.000513079,10,323,0.00016225,0.742928115,4.256505569,FALSE,
R-HSA-5637810,Constitutive Signaling by EGFRvIII,0.000785357,0.000581457,10,284,0.000183873,0.740372405,4.271198711,FALSE,
R-HSA-5654716,Downstream signaling of activated FGFR4,0.000588585,0.000433745,10,367,0.000137162,0.736928039,4.291162087,FALSE,
R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.000490364,0.000360082,10,401,0.000113868,0.734316034,4.306425998,FALSE,
R-HSA-264876,Insulin processing,0.000852837,0.000624825,10,256,0.000197587,0.732643286,4.316258296,FALSE,
R-HSA-8982491,Glycogen metabolism,0.000840169,0.00060623,10,264,0.000191707,0.721557534,4.382571743,FALSE,
R-HSA-5654700,FRS-mediated FGFR2 signaling,0.000383751,0.000276056,10,444,8.73E-05,0.719361927,4.39594805,FALSE,
R-HSA-9865881,Complex III assembly,0.000544475,0.00039016,10,380,0.00012338,0.716580402,4.413011645,FALSE,
R-HSA-76046,RNA Polymerase III Transcription Initiation,0.000735905,0.000525898,10,300,0.000166303,0.714627179,4.425073318,FALSE,
R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,0.00044939,0.000320582,10,422,0.000101377,0.713371149,4.432864526,FALSE,
R-HSA-451326,Activation of kainate receptors upon glutamate binding,0.000856521,0.000594164,10,254,0.000187891,0.693695006,4.558599433,FALSE,
R-HSA-2243919,Crosslinking of collagen fibrils,0.000690293,0.000473,10,324,0.000149576,0.68521624,4.615006875,FALSE,
R-HSA-3214842,HDMs demethylate histones,0.000836326,0.000572364,10,266,0.000180997,0.684378701,4.620654697,FALSE,
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,0.000330171,0.000225245,10,469,7.12E-05,0.68220599,4.635370707,FALSE,
R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,0.000294322,0.000199401,10,473,6.31E-05,0.677490311,4.667635253,FALSE,
R-HSA-1483191,Synthesis of PC,0.000377874,0.000253086,10,449,8.00E-05,0.669763971,4.7214807,FALSE,
R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,0.000295196,0.000197552,10,471,6.25E-05,0.669222592,4.72530022,FALSE,
R-HSA-5387390,Hh mutants abrogate ligand secretion,0.0005269,0.000351855,10,386,0.000111266,0.667783579,4.735482808,FALSE,
R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,0.000488203,0.000325859,10,404,0.000103046,0.667465877,4.737736815,FALSE,
R-HSA-1369062,ABC transporters in lipid homeostasis,0.000436712,0.00028911,10,424,9.14E-05,0.662016508,4.776735356,FALSE,
R-HSA-169911,Regulation of Apoptosis,0.000649601,0.000429533,10,337,0.00013583,0.661225392,4.782450433,FALSE,
R-HSA-9768919,NPAS4 regulates expression of target genes,0.000779583,0.000512428,10,285,0.000162044,0.657310768,4.810932382,FALSE,
R-HSA-1296072,Voltage gated Potassium channels,0.000764355,0.000495654,10,290,0.00015674,0.648460699,4.876591077,FALSE,
R-HSA-420092,Glucagon-type ligand receptors,0.000786969,0.000493013,10,281,0.000155904,0.626469945,5.047772341,FALSE,
R-HSA-392851,Prostacyclin signalling through prostacyclin receptor,0.000343154,0.000202589,10,458,6.41E-05,0.590373598,5.356400883,FALSE,
R-HSA-202040,G-protein activation,0.000670868,0.00038305,10,330,0.000121131,0.570976421,5.538368214,FALSE,
R-HSA-9932444,ATP-dependent chromatin remodelers,0.000635835,0.000356655,10,342,0.000112784,0.560923437,5.637627978,FALSE,
R-HSA-5218921,VEGFR2 mediated cell proliferation,0.000584296,0.000316384,10,368,0.00010005,0.541479344,5.840070713,FALSE,
R-HSA-5621480,Dectin-2 family,0.00033829,0.000181921,10,461,5.75E-05,0.537767926,5.8803761,FALSE,
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,0.000775019,0.000381579,10,287,0.000120666,0.492347684,6.42285475,FALSE,
R-HSA-9648002,RAS processing,0.000839656,0.000409428,10,265,0.000129472,0.487613653,6.485211484,FALSE,
