pathway_id,pathway_name,mean_abs_ig_attribution,std_abs_ig_attribution,n_seeds,rank_by_mean,se_abs_ig_attribution,cv_abs_ig_attribution,consistency_score,above_mean_floor,rank_by_consistency_filtered
R-HSA-5683826,Surfactant metabolism,0.00069902,0.000762239,10,316,0.000241041,1.090439935,2.900001696,FALSE,
R-HSA-177504,Retrograde neurotrophin signalling,0.000278131,0.000300974,10,478,9.52E-05,1.082130524,2.922270086,FALSE,
R-HSA-8940973,RUNX2 regulates osteoblast differentiation,0.000653981,0.000703066,10,335,0.000222329,1.075055998,2.94150041,FALSE,
R-HSA-9696264,RND3 GTPase cycle,0.000831086,0.000890695,10,269,0.000281662,1.071723651,2.950646518,FALSE,
R-HSA-70221,Glycogen breakdown (glycogenolysis),0.000505,0.000538526,10,394,0.000170297,1.066386823,2.965413293,FALSE,
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,0.000822523,0.000875314,10,271,0.000276799,1.06418182,2.971557681,FALSE,
R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",0.000614599,0.000651326,10,350,0.000205967,1.059756718,2.983965665,FALSE,
R-HSA-1482801,Acyl chain remodelling of PS,0.000830543,0.000879525,10,270,0.00027813,1.05897527,2.98616762,FALSE,
R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins,0.000723988,0.000765982,10,308,0.000242225,1.058003483,2.988910445,FALSE,
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,0.000470734,0.000497796,10,410,0.000157417,1.057489035,2.99036449,FALSE,
R-HSA-500657,Presynaptic function of Kainate receptors,0.000773738,0.000818034,10,288,0.000258685,1.057248451,2.991044968,FALSE,
R-HSA-418885,DCC mediated attractive signaling,0.00031231,0.00032896,10,470,0.000104026,1.053312806,3.002220843,FALSE,
R-HSA-9614657,FOXO-mediated transcription of cell death genes,0.000621903,0.000653592,10,347,0.000206684,1.050954342,3.008958175,FALSE,
R-HSA-5685938,HDR through Single Strand Annealing (SSA),0.000802809,0.000843641,10,275,0.000266783,1.050861638,3.009223618,FALSE,
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,0.000504377,0.000527548,10,396,0.000166825,1.045939735,3.023384192,FALSE,
R-HSA-9704646,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,0.000460341,0.000480606,10,418,0.000151981,1.044020643,3.0289417,FALSE,
R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease,0.000149437,0.000155995,10,491,4.93E-05,1.043888644,3.029324708,FALSE,
R-HSA-5610783,Degradation of GLI2 by the proteasome,0.000845728,0.000878677,10,261,0.000277862,1.038959944,3.043695455,FALSE,
R-HSA-177243,Interactions of Rev with host cellular proteins,0.000761452,0.000784391,10,292,0.000248046,1.03012577,3.069797641,FALSE,
R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,0.000386786,0.000398128,10,442,0.000125899,1.029325556,3.072184151,FALSE,
R-HSA-69190,DNA strand elongation,0.000486753,0.000499559,10,406,0.000157974,1.026308905,3.081214285,FALSE,
R-HSA-5655253,Signaling by FGFR2 in disease,0.000874725,0.000895141,10,249,0.000283069,1.023340765,3.090151169,FALSE,
R-HSA-901042,Calnexin/calreticulin cycle,0.000260696,0.000264789,10,480,8.37E-05,1.01570203,3.113391098,FALSE,
R-HSA-420029,Tight junction interactions,0.000725949,0.000736758,10,307,0.000232983,1.014888342,3.115887264,FALSE,
R-HSA-6803529,FGFR2 alternative splicing,0.000726574,0.000736097,10,306,0.000232774,1.01310655,3.121367303,FALSE,
R-HSA-418457,cGMP effects,0.000706297,0.000715423,10,314,0.000226237,1.012920899,3.121939396,FALSE,
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,0.000537738,0.000541214,10,383,0.000171147,1.006462735,3.141971928,FALSE,
R-HSA-373753,Nephrin family interactions,0.000492002,0.00049428,10,400,0.000156305,1.004628873,3.147707321,FALSE,
R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt),0.000336917,0.000338215,10,464,0.000106953,1.003854144,3.150136579,FALSE,
R-HSA-350054,Notch-HLH transcription pathway,0.000881528,0.000884188,10,247,0.000279605,1.003018268,3.15276178,FALSE,
R-HSA-8956321,Nucleotide salvage,0.000247546,0.000247221,10,481,7.82E-05,0.998687831,3.166432554,FALSE,
R-HSA-4641263,Regulation of FZD by ubiquitination,0.00069067,0.000689047,10,321,0.000217896,0.997650408,3.169725223,FALSE,
R-HSA-912526,Interleukin receptor SHC signaling,0.000694769,0.000687738,10,319,0.000217482,0.989879351,3.19460918,FALSE,
R-HSA-4641258,Degradation of DVL,0.000524075,0.000518304,10,388,0.000163902,0.988987691,3.197489403,FALSE,
R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells,0.000334751,0.000330943,10,465,0.000104653,0.988624081,3.19866542,FALSE,
R-HSA-8941856,RUNX3 regulates NOTCH signaling,0.00027756,0.000274317,10,479,8.67E-05,0.988314199,3.199668349,FALSE,
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,0.000341224,0.000336408,10,459,0.000106382,0.985887429,3.207544359,FALSE,
R-HSA-9834899,Specification of the neural plate border,0.000778921,0.000761289,10,286,0.000240741,0.97736373,3.235517714,FALSE,
R-HSA-180746,Nuclear import of Rev protein,0.000818609,0.000798686,10,272,0.000252567,0.975663124,3.241157304,FALSE,
R-HSA-9733709,Cardiogenesis,0.000743515,0.00072484,10,297,0.000229215,0.974882325,3.2437532,FALSE,
