pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-6803529,FGFR2 alternative splicing,0.0007266307407442404
R-HSA-5669034,TNFs bind their physiological receptors,0.0007239310567757546
R-HSA-1482788,Acyl chain remodelling of PC,0.0007091680504097223
R-HSA-9864848,Complex IV assembly,0.0007014604766060437
R-HSA-5626467,RHO GTPases activate IQGAPs,0.0006988763963912537
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.0006934450396353221
R-HSA-8956319,Nucleotide catabolism,0.0006920577825953706
R-HSA-9674555,Signaling by CSF3 (G-CSF),0.000690364825996869
R-HSA-352230,Amino acid transport across the plasma membrane,0.0006863171184094655
R-HSA-416572,Sema4D induced cell migration and growth-cone collapse,0.0006811666808903669
R-HSA-9759475,Regulation of CDH11 Expression and Function,0.0006804962966525833
R-HSA-1227990,Signaling by ERBB2 in Cancer,0.0006674178857967764
R-HSA-420029,Tight junction interactions,0.00065817593642747
R-HSA-397795,G-protein beta:gamma signalling,0.0006521762115148568
R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,0.0006515130998259041
R-HSA-201451,Signaling by BMP,0.0006502964433523016
R-HSA-9620244,Long-term potentiation,0.0006486881758877672
R-HSA-5602358,Diseases associated with the TLR signaling cascade,0.0006431161927269246
R-HSA-2243919,Crosslinking of collagen fibrils,0.0006261606668069375
R-HSA-9013418,RHOBTB2 GTPase cycle,0.0006259608122744344
R-HSA-165159,MTOR signalling,0.0006087497589751876
R-HSA-8863678,Neurodegenerative Diseases,0.0005946718591235003
R-HSA-167044,Signalling to RAS,0.0005852975712369883
R-HSA-1912420,Pre-NOTCH Processing in Golgi,0.0005849135653836585
R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,0.0005797317819449357
R-HSA-3371568,Attenuation phase,0.0005708417500272444
R-HSA-69186,Lagging Strand Synthesis,0.000569641516607267
R-HSA-8978934,Metabolism of cofactors,0.0005640508693994169
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),0.0005632546273476315
R-HSA-9703465,Signaling by FLT3 fusion proteins,0.0005571991916428371
