pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-3371571,HSF1-dependent transactivation,0.0063605934611516155
R-HSA-156590,Glutathione conjugation,0.0042317297850021736
R-HSA-9705462,Inactivation of CSF3 (G-CSF) signaling,0.0028143303725488115
R-HSA-9615710,Late endosomal microautophagy,0.002785250067430809
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,0.002781957418263715
R-HSA-8854214,TBC/RABGAPs,0.0027805614049501485
R-HSA-5620924,Intraflagellar transport,0.0026109644812217308
R-HSA-9646399,Aggrephagy,0.0025797244616403907
R-HSA-6783783,Interleukin-10 signaling,0.002554577693751873
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,0.002459773721107186
R-HSA-9955298,SLC-mediated transport of organic anions,0.002446183283915389
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.002258594269051137
R-HSA-389977,Post-chaperonin tubulin folding pathway,0.002223637748432126
R-HSA-3000170,Syndecan interactions,0.002179850419275056
R-HSA-9620244,Long-term potentiation,0.0021583805686439333
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,0.002125716608007451
R-HSA-194068,Bile acid and bile salt metabolism,0.0021137057189423154
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,0.0021123390125007925
R-HSA-5669034,TNFs bind their physiological receptors,0.0020944308762115013
R-HSA-982772,Growth hormone receptor signaling,0.00209144558085826
R-HSA-9958863,SLC-mediated transport of amino acids,0.0020744962855762583
R-HSA-192105,Synthesis of bile acids and bile salts,0.0020646952871236613
R-HSA-5620971,Pyroptosis,0.0019961230385595473
R-HSA-9701192,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,0.0019855563033147772
R-HSA-500657,Presynaptic function of Kainate receptors,0.0019582189975574918
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.001839890316459959
R-HSA-9696270,RND2 GTPase cycle,0.0018138293105475199
R-HSA-9759475,Regulation of CDH11 Expression and Function,0.0018101824869101437
R-HSA-380108,Chemokine receptors bind chemokines,0.0017797842469909745
