,fold,epoch,train_loss,val_loss,cindex
0,1,1,1.1661924448880283,2.8798531691233316,0.5326778484673221
1,1,2,1.045203534039584,2.875111738840739,0.5245806824754193
2,1,3,1.0469538948752664,2.8686225414276123,0.5257374204742625
3,1,4,1.0817414630543103,2.8721089363098145,0.5355696934644303
4,1,5,0.9993220676075328,2.856738011042277,0.5853094274146906
5,1,6,0.9407185424457897,2.85652748743693,0.6026604973973395
6,1,7,0.9432920976118608,2.7915863196055093,0.6928860613071139
7,1,8,0.8636129986156117,2.847103993097941,0.6697513013302487
8,1,9,0.8966187238693237,2.9123734633127847,0.6795835743204164
9,1,10,0.7996102246371183,2.984397808710734,0.6356275303643725
10,1,11,0.8237122188914906,2.9716199239095054,0.6229034123770966
11,1,12,0.7873436754400079,2.8843797047932944,0.6836321573163678
12,2,1,1.2224429087205366,2.723686933517456,0.6279683377308707
13,2,2,1.0644981427626177,2.712876796722412,0.7275725593667546
14,2,3,1.1762519532983953,2.6765281359354653,0.6675461741424802
15,2,4,1.0505827556956897,2.59190825621287,0.679419525065963
16,2,5,1.0676960728385232,2.5489824612935386,0.691952506596306
17,2,6,1.034455039284446,2.6359310150146484,0.6391820580474934
18,2,7,0.9421795064752753,2.797276178995768,0.5857519788918206
19,3,1,1.1633693304928867,2.5280028184254966,0.6258879242304657
20,3,2,1.2201605926860462,2.5193368593851724,0.65982636148382
21,3,3,1.1136579296805642,2.4972652594248452,0.6606156274664562
22,3,4,1.1563099947842685,2.4605319499969482,0.6787687450670876
23,3,5,1.096020676872947,2.4382086594899497,0.6977111286503551
24,3,6,0.975766355341131,2.3414174715677896,0.7616416732438832
25,3,7,1.0114972374655984,2.3371376991271973,0.7490134175217048
26,3,8,0.9232787435705011,2.36280886332194,0.7466456195737964
27,3,9,0.8764045888727362,2.3617794513702393,0.7513812154696132
28,3,10,0.8357866894115101,2.333396593729655,0.7647987371744278
29,3,11,0.8085780577226118,2.382821559906006,0.7521704814522494
30,3,12,0.8658104809847745,2.3385543823242188,0.7434885556432518
31,3,13,0.8457337292757902,2.435805638631185,0.7229676400947119
32,3,14,0.7224570621143688,2.34323787689209,0.7040252565114443
33,3,15,0.7968363545157693,2.426753600438436,0.7277032359905288
34,4,1,1.052907943725586,3.145342747370402,0.5286555972147831
35,4,2,1.1141075871207498,3.143641551335653,0.4970540974825924
36,4,3,1.12441255829551,3.148937463760376,0.4799143010176754
37,4,4,1.0567476099187678,3.1178314685821533,0.5549009105516872
38,4,5,1.0537112192674116,3.123655080795288,0.5452597750401714
39,4,6,0.9640663320367987,3.01710311571757,0.6341724692019283
40,4,7,0.9757956808263605,3.0120363235473633,0.6448848419925013
41,4,8,0.8744764111258767,2.998067935307821,0.6448848419925013
42,4,9,0.8103099736300382,3.011859893798828,0.6545259775040171
43,4,10,0.7535568150607023,2.967612346013387,0.6705945366898768
44,4,11,0.831956148147583,2.9468119939168296,0.6529191215854312
45,4,12,0.7554576722058383,2.9235075314839682,0.6555972147830744
46,4,13,0.7804681604558771,2.978708585103353,0.6336368505623996
47,4,14,0.7306888862089678,2.9898104667663574,0.6261381896089984
48,4,15,0.7264408415014093,2.9180286725362143,0.6647027316550616
49,5,1,1.018855940211903,3.032954533894857,0.5648372996600292
50,5,2,1.0629039894450794,3.0292144616444907,0.5857212238950947
51,5,3,1.0674242106350986,3.0256431102752686,0.5900922778047596
52,5,4,1.0196007815274326,3.0597191651662192,0.5857212238950947
53,5,5,1.0027675195173784,3.134594996770223,0.5662943176299174
54,5,6,0.9993596510453657,3.154176950454712,0.5522098105876639
55,5,7,0.8355010422793302,3.135657628377279,0.5565808644973288
56,5,8,0.8113522746346213,3.070326487223307,0.5740650801359883
