,fold,epoch,train_loss,val_loss,cindex
0,1,1,1.0826174779371782,2.879833698272705,0.606709080393291
1,1,2,1.1305905038660222,2.8761128584543862,0.558126084441874
2,1,3,1.0940614613619717,2.863629102706909,0.562753036437247
3,1,4,1.000689441507513,2.8681129614512124,0.5448235974551764
4,1,5,1.0384702465750955,2.8823272387186685,0.5534991324465008
5,1,6,0.9937515258789062,2.8135268688201904,0.6570271833429728
6,1,7,0.8845394524660978,2.8267853260040283,0.6876807403123193
7,1,8,0.8858668587424539,2.892086664835612,0.6020821283979179
8,1,9,0.8560401743108575,2.859116872151693,0.7113938692886062
9,1,10,0.8405591141093861,2.924057722091675,0.6604973973395026
10,1,11,0.8132701570337469,2.99397079149882,0.6529786003470214
11,1,12,0.7526880502700806,2.927870194117228,0.7073452862926547
12,1,13,0.8042428710243918,2.8897204399108887,0.7200694042799306
13,1,14,0.7672330249439586,2.984768788019816,0.6749566223250434
14,1,15,0.7429669120094993,2.972729523976644,0.70213996529786
15,1,16,0.7295763167467985,2.841318368911743,0.714864083285136
16,1,17,0.8239655277945779,2.9492972691853843,0.6923076923076923
17,1,18,0.7382155114954169,3.0017004013061523,0.6876807403123193
18,2,1,1.145095239986073,2.7206345399220786,0.5646437994722955
19,2,2,1.0731321031397039,2.7133302688598633,0.5943271767810027
20,2,3,1.117280743338845,2.6905335585276284,0.6715039577836411
21,2,4,1.035991993817416,2.611965616544088,0.7262532981530343
22,2,5,0.9964010498740457,2.5556170543034873,0.7091029023746702
23,2,6,1.029342608018355,2.598755439122518,0.6840369393139841
24,2,7,0.9587323015386408,2.724358638127645,0.6207124010554089
25,2,8,0.8680106618187644,2.6446470419565835,0.6616094986807388
26,2,9,0.8757537278262052,2.773097276687622,0.6279683377308707
27,3,1,1.0173034017736262,2.527618646621704,0.6456195737963694
28,3,2,1.1533753221685237,2.5191245079040527,0.6448303078137332
29,3,3,1.0857418233698064,2.4930733839670816,0.6566692975532754
30,3,4,1.0833956328305332,2.467933734258016,0.6614048934490924
31,3,5,1.1038249839435925,2.4274051984151206,0.6898184688239937
32,3,6,0.9672147360714999,2.387117306391398,0.7166535122336227
33,3,7,0.9388191483237527,2.377220312754313,0.7308602999210734
34,3,8,0.8768485459414396,2.3730151653289795,0.7190213101815311
35,3,9,0.9053251526572488,2.4171911080678306,0.7237569060773481
36,3,10,0.8255313201384111,2.4462982018788657,0.7174427782162589
37,3,11,0.8135767850008878,2.4367489020029702,0.7016574585635359
38,3,12,0.7807748967950995,2.4499014218648276,0.7300710339384373
39,4,1,1.0606378425251355,3.146801710128784,0.47134440278521694
40,4,2,1.0702039111744275,3.149391492207845,0.4627745045527584
41,4,3,1.0963235768404873,3.1745853424072266,0.4750937332619175
42,4,4,1.0987914475527676,3.1540592511494956,0.5340117836100696
43,4,5,1.002548802982677,3.084791342417399,0.6073915372254954
44,4,6,1.0365240357138894,3.048968474070231,0.629887520085699
45,4,7,0.90816330909729,3.0321576595306396,0.6336368505623996
46,4,8,0.9231109619140625,2.966589609781901,0.6823781467595073
47,4,9,0.8824895511973988,3.033796230951945,0.6534547402249599
48,4,10,0.8406462452628396,3.0526247024536133,0.6497054097482592
49,4,11,0.804505315693942,3.080150524775187,0.6459560792715586
50,4,12,0.7837401628494263,3.0858546098073325,0.6288162828066417
51,4,13,0.7718891663984819,3.027888536453247,0.6422067487948581
52,5,1,1.0464811650189487,3.0323577721913657,0.5818358426420592
53,5,2,1.0961424220692029,3.0297598838806152,0.5764934434191356
54,5,3,1.0348393266851252,3.0423657099405923,0.5303545410393394
55,5,4,1.0784010670401833,3.081848939259847,0.5390966488586693
56,5,5,1.049609292637218,3.1016496817270913,0.5672656629431763
57,5,6,0.9580724889581854,3.1728568871816,0.5133559980573094
