pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,0.01495586005671065
R-HSA-5626467,RHO GTPases activate IQGAPs,0.014098984109970552
R-HSA-1566948,Elastic fibre formation,0.01231725516181428
R-HSA-9646399,Aggrephagy,0.012187906869813045
R-HSA-2129379,Molecules associated with elastic fibres,0.010104009031155091
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.009743932475236245
R-HSA-5620924,Intraflagellar transport,0.008640947709564679
R-HSA-9749641,Aspirin ADME,0.008351770466676484
R-HSA-6783783,Interleukin-10 signaling,0.007394008212468932
R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,0.007335599838421042
R-HSA-427359,SIRT1 negatively regulates rRNA expression,0.0072768002832885635
R-HSA-9675126,Diseases of mitotic cell cycle,0.007216198679157768
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),0.006967684653959163
R-HSA-156590,Glutathione conjugation,0.006913198538656095
R-HSA-380108,Chemokine receptors bind chemokines,0.006908935471502705
R-HSA-352230,Amino acid transport across the plasma membrane,0.006875948277751749
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,0.006443238060700366
R-HSA-5668599,RHO GTPases Activate NADPH Oxidases,0.006206731623305797
R-HSA-73728,RNA Polymerase I Promoter Opening,0.006167576958435341
R-HSA-190861,Gap junction assembly,0.006069267009488097
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,0.005891738532609848
R-HSA-9640148,Infection with Enterobacteria,0.005707720834596516
R-HSA-3238698,WNT ligand biogenesis and trafficking,0.005699507139126045
R-HSA-8948216,Collagen chain trimerization,0.005692594363712054
R-HSA-5669034,TNFs bind their physiological receptors,0.005635454918168126
R-HSA-9955298,SLC-mediated transport of organic anions,0.005606089354407347
R-HSA-182971,EGFR downregulation,0.0054237664585408615
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.005389176636747578
R-HSA-8854214,TBC/RABGAPs,0.005241240317572715
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.005183236800442898
R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,0.0051413961949790124
R-HSA-9006115,Signaling by NTRK2 (TRKB),0.005089566471682149
R-HSA-5654696,Downstream signaling of activated FGFR2,0.00505324990566869
R-HSA-9820960,Respiratory syncytial virus (RSV) attachment and entry,0.005027280154029964
R-HSA-8949613,Cristae formation,0.0049870335527989595
R-HSA-190872,Transport of connexons to the plasma membrane,0.004898071368249063
R-HSA-9840310,Glycosphingolipid catabolism,0.004771353815153674
R-HSA-3000170,Syndecan interactions,0.004735366106216384
R-HSA-165159,MTOR signalling,0.00464758155551072
R-HSA-5083635,Defective B3GALTL causes PpS,0.00448556035325751
R-HSA-4608870,Asymmetric localization of PCP proteins,0.0044654713121538535
R-HSA-445144,Signal transduction by L1,0.004434106750938768
R-HSA-1222556,ROS and RNS production in phagocytes,0.004415535309045604
R-HSA-9830674,Formation of the ureteric bud,0.004359834413629973
R-HSA-6806667,Metabolism of fat-soluble vitamins,0.004357637625528101
R-HSA-9703465,Signaling by FLT3 fusion proteins,0.004327352198126084
R-HSA-1592389,Activation of Matrix Metalloproteinases,0.004313393627833401
R-HSA-193639,p75NTR signals via NF-kB,0.004300229801107626
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,0.004298521154309414
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),0.0042951079136489476
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.004267506358955019
R-HSA-211976,Endogenous sterols,0.004221184969971143
R-HSA-167287,HIV elongation arrest and recovery,0.004218425298160276
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,0.00416091586850118
R-HSA-9958790,SLC-mediated transport of inorganic anions,0.0041174155904756884
R-HSA-9709603,Impaired BRCA2 binding to PALB2,0.004112890786286908
R-HSA-399719,Trafficking of AMPA receptors,0.0040646453646405855
R-HSA-159227,Transport of the SLBP independent Mature mRNA,0.004059067618229745
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.004037184566203612
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),0.004031444070130628
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,0.004024336759507349
R-HSA-1266695,Interleukin-7 signaling,0.0039930457102579
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,0.0039193706851768555
R-HSA-5675482,Regulation of necroptotic cell death,0.003909620195117256
R-HSA-210500,Glutamate Neurotransmitter Release Cycle,0.0039064624613429945
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,0.0038262442857915366
R-HSA-452723,Transcriptional regulation of pluripotent stem cells,0.003823723775193134
R-HSA-9694614,Attachment and Entry,0.003811790932024826
R-HSA-9840309,Glycosphingolipid biosynthesis,0.0037211490921672434
R-HSA-9918485,Dengue Virus Attachment and Entry,0.0036795456425758907
R-HSA-2024096,HS-GAG degradation,0.0035536404047396735
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,0.0035243391955877717
R-HSA-1660661,Sphingolipid de novo biosynthesis,0.0035219774069348243
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.0035175373514303365
R-HSA-933542,TRAF6 mediated NF-kB activation,0.0034620332915602917
R-HSA-390918,Peroxisomal lipid metabolism,0.0034313250833243798
R-HSA-9613829,Chaperone Mediated Autophagy,0.0034097486758988115
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.0033680725703227462
R-HSA-9669938,Signaling by KIT in disease,0.003332242615096651
R-HSA-72165,mRNA Splicing - Minor Pathway,0.0033261369199527606
R-HSA-110331,Cleavage of the damaged purine,0.0033230674707429445
R-HSA-445095,Interaction between L1 and Ankyrins,0.0033210898355682775
R-HSA-354192,Integrin signaling,0.0032757739192838774
R-HSA-4641265,Repression of WNT target genes,0.0032668317278829483
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,0.0032666907509213876
R-HSA-5627117,RHO GTPases Activate ROCKs,0.003260564691402736
R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,0.0032578491465963862
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",0.0031951454169878565
R-HSA-181429,Serotonin Neurotransmitter Release Cycle,0.0031475546073334508
R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,0.0030614473269417663
R-HSA-8863795,Downregulation of ERBB2 signaling,0.003046171702728253
R-HSA-8979227,Triglyceride metabolism,0.003033116635485185
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,0.003018825920765876
R-HSA-5602358,Diseases associated with the TLR signaling cascade,0.0029993237243780314
R-HSA-194068,Bile acid and bile salt metabolism,0.0029577063247362215
R-HSA-73927,Depurination,0.002936490642191067
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",0.0029164706828263528
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,0.002912178250641409
R-HSA-1482788,Acyl chain remodelling of PC,0.002900815942391169
